Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,62.000000,63.450001,61.990002,63.090000,61.859390,5001700
2017-09-28,63.049999,63.599998,62.630001,63.540001,62.300613,5928500
2017-09-29,63.490002,64.709999,63.439999,64.510002,63.251694,5048300
2017-10-02,64.419998,64.709999,62.990002,63.389999,62.153542,5570400
2017-10-03,63.610001,63.790001,62.950001,63.450001,62.212368,3775800
2017-10-04,63.070000,63.330002,62.150002,62.630001,61.408367,6693000
2017-10-05,62.650002,63.240002,62.209999,63.090000,61.859390,4505500
2017-10-06,62.730000,63.380001,62.290001,63.250000,62.016270,3837200
2017-10-09,61.500000,61.740002,60.560001,61.180000,59.986645,8840900
2017-10-10,61.150002,61.560001,60.759998,61.450001,60.251381,5735600
2017-10-11,61.270000,61.389999,60.520000,61.360001,60.163139,5644600
2017-10-12,61.450001,62.580002,61.200001,62.049999,60.839676,4715600
2017-10-13,62.380001,62.439999,60.549999,61.080002,59.888599,7151600
2017-10-16,61.119999,61.970001,61.009998,61.480000,60.280792,4538700
2017-10-17,61.529999,61.860001,60.970001,61.660000,60.457283,2674800
2017-10-18,61.720001,62.119999,61.459999,61.500000,60.300404,3930200
2017-10-19,60.950001,62.029999,60.360001,61.990002,60.780849,5123500
2017-10-20,62.480000,63.139999,62.230000,62.630001,61.408367,5283200
2017-10-23,62.700001,62.880001,61.230000,61.459999,60.261185,4281000
2017-10-24,61.939999,63.330002,61.740002,62.730000,61.506409,6098700
2017-10-25,62.279999,62.599998,61.189999,61.810001,60.604359,5419600
2017-10-26,62.270000,62.590000,61.880001,62.060001,60.849483,4846400
2017-10-27,62.360001,64.269997,62.360001,64.139999,62.888908,6174600
2017-10-30,64.330002,65.580002,64.269997,65.300003,64.026283,6567700
2017-10-31,65.339996,66.029999,64.860001,65.489998,64.212578,6876900
2017-11-01,65.690002,65.779999,64.250000,65.330002,64.055702,5139100
2017-11-02,65.410004,65.839996,64.830002,65.449997,64.173355,6129400
2017-11-03,66.870003,67.029999,62.110001,63.200001,61.967247,18879300
2017-11-06,63.410000,63.720001,60.709999,60.869999,59.682690,12947200
2017-11-07,61.090000,61.349998,60.099998,60.959999,59.770939,7597800
2017-11-08,62.500000,64.900002,62.150002,64.550003,63.290916,12604700
2017-11-09,63.490002,64.180000,62.590000,63.310001,62.075104,5421700
2017-11-10,62.869999,63.070000,62.250000,63.000000,61.771149,4858900
2017-11-13,62.720001,63.970001,62.669998,63.619999,62.379051,3036800
2017-11-14,63.369999,64.400002,62.790001,64.029999,62.781055,4562800
2017-11-15,63.430000,63.669998,62.500000,62.889999,61.663288,4071100
2017-11-16,63.130001,64.410004,63.040001,64.129997,62.879101,4589000
2017-11-17,64.000000,64.440002,63.180000,64.099998,62.849689,4213400
2017-11-20,63.930000,64.180000,63.279999,63.930000,62.683006,3144400
2017-11-21,64.489998,64.949997,64.190002,64.500000,63.241890,3749400
2017-11-22,64.910004,66.309998,64.889999,65.139999,63.869404,5728900
2017-11-24,65.180000,66.139999,65.120003,66.029999,64.742043,1644700
2017-11-27,66.180000,66.449997,65.629997,65.739998,64.457703,4116600
2017-11-28,66.019997,66.459999,65.839996,65.970001,64.683220,3976600
2017-11-29,65.610001,65.709999,61.950001,62.009998,60.800453,9261600
2017-11-30,62.549999,62.730000,60.860001,62.400002,61.182850,8947400
2017-12-01,61.959999,62.689999,60.709999,61.959999,60.751431,5443400
2017-12-04,62.389999,62.480000,58.349998,58.599998,57.456970,12491600
2017-12-05,57.639999,60.720001,57.290001,59.549999,58.388439,7681800
2017-12-06,59.480000,60.810001,58.630001,60.750000,59.565033,8302600
2017-12-07,60.799999,62.450001,60.689999,61.570000,60.369038,7202200
2017-12-08,62.259998,63.509998,62.040001,62.430000,61.212265,6009100
2017-12-11,62.139999,63.180000,62.139999,63.169998,61.937828,4072700
2017-12-12,64.110001,64.690002,63.200001,64.400002,63.143837,6460100
2017-12-13,64.849998,65.279999,64.300003,64.599998,63.339931,5536600
2017-12-14,64.699997,65.449997,64.540001,65.029999,63.761547,4737100
2017-12-15,65.470001,67.000000,64.989998,66.730003,65.428391,9737000
2017-12-18,67.080002,67.400002,65.879997,66.010002,64.722443,6236800
2017-12-19,66.099998,66.250000,64.389999,64.900002,63.634087,6141600
2017-12-20,65.309998,65.440002,64.010002,64.379997,63.124226,4714000
2017-12-21,64.510002,65.199997,64.139999,65.080002,63.810577,3362500
2017-12-22,64.860001,64.949997,64.379997,64.510002,63.251694,3300500
2017-12-26,64.239998,64.470001,63.380001,63.450001,62.212368,3236200
2017-12-27,63.669998,63.740002,63.070000,63.340000,62.104511,4840700
2017-12-28,63.340000,63.500000,62.599998,63.400002,62.163349,3108800
2017-12-29,63.590000,63.830002,63.119999,63.320000,62.084908,3218000
2018-01-02,63.540001,64.669998,63.369999,64.309998,63.055592,5138800
2018-01-03,64.550003,65.750000,64.400002,65.309998,64.036087,4383900
2018-01-04,65.750000,65.870003,64.360001,64.660004,63.398773,3919800
2018-01-05,64.879997,66.470001,64.489998,66.370003,65.075409,4999100
2018-01-08,66.489998,67.269997,65.650002,66.629997,65.330338,4622400
2018-01-09,66.750000,66.750000,64.900002,66.190002,64.898926,5995900
2018-01-10,65.930000,66.940002,65.779999,66.830002,65.526443,4504000
2018-01-11,68.290001,69.330002,67.230003,69.239998,67.889427,8176300
2018-01-12,69.699997,70.709999,69.050003,70.360001,68.987587,8021900
