Date,Open,High,Low,Close,Adj Close,Volume
2017-09-21,5.540000,5.610000,5.170000,5.270000,5.270000,7871800
2017-09-22,5.260000,5.310000,5.150000,5.240000,5.240000,2633600
2017-09-25,5.260000,5.330000,5.170000,5.260000,5.260000,1326700
2017-09-26,5.250000,5.280000,5.140000,5.180000,5.180000,1931700
2017-09-27,5.110000,5.340000,5.070000,5.280000,5.280000,1026700
2017-09-28,5.300000,5.320000,5.120000,5.240000,5.240000,1186000
2017-09-29,5.220000,5.280000,5.160000,5.240000,5.240000,935100
2017-10-02,5.200000,5.350000,5.180000,5.330000,5.330000,1404900
2017-10-03,5.310000,5.310000,5.090000,5.240000,5.240000,1900500
2017-10-04,5.290000,5.290000,5.150000,5.260000,5.260000,711200
2017-10-05,5.260000,5.350000,5.220000,5.250000,5.250000,796000
2017-10-06,5.230000,5.250000,5.140000,5.230000,5.230000,769900
2017-10-09,5.210000,5.270000,5.150000,5.180000,5.180000,597500
2017-10-10,5.200000,5.220000,5.130000,5.190000,5.190000,898000
2017-10-11,5.170000,5.230000,5.140000,5.190000,5.190000,1101500
2017-10-12,5.190000,5.220000,5.120000,5.190000,5.190000,1121300
2017-10-13,5.180000,5.180000,4.930000,5.050000,5.050000,1325700
2017-10-16,5.090000,5.230000,5.010000,5.110000,5.110000,1183600
2017-10-17,5.110000,5.130000,5.030000,5.080000,5.080000,556400
2017-10-18,5.100000,5.220000,5.080000,5.200000,5.200000,816300
2017-10-19,5.180000,5.180000,4.960000,5.100000,5.100000,1071100
2017-10-20,5.110000,5.110000,4.750000,4.800000,4.800000,1237100
2017-10-23,4.800000,4.890000,4.370000,4.370000,4.370000,1593400
2017-10-24,4.370000,4.410000,4.180000,4.350000,4.350000,1481900
2017-10-25,4.330000,4.340000,4.180000,4.240000,4.240000,879400
2017-10-26,4.200000,4.250000,4.120000,4.160000,4.160000,1042600
2017-10-27,4.230000,4.440000,4.160000,4.420000,4.420000,1354000
2017-10-30,4.450000,4.540000,4.350000,4.430000,4.430000,784900
2017-10-31,4.440000,4.530000,4.380000,4.500000,4.500000,1024300
2017-11-01,4.520000,4.540000,4.330000,4.480000,4.480000,1390000
2017-11-02,4.450000,4.590000,4.400000,4.540000,4.540000,1068900
2017-11-03,4.500000,4.690000,4.490000,4.680000,4.680000,1177100
2017-11-06,4.730000,4.910000,4.700000,4.850000,4.850000,767300
2017-11-07,4.700000,5.000000,4.650000,4.700000,4.700000,1115800
2017-11-08,4.500000,4.710000,4.390000,4.700000,4.700000,2825500
2017-11-09,4.630000,4.930000,4.630000,4.850000,4.850000,958500
2017-11-10,4.830000,5.000000,4.810000,4.820000,4.820000,595500
2017-11-13,4.800000,4.800000,4.640000,4.760000,4.760000,627700
2017-11-14,4.720000,4.800000,4.680000,4.720000,4.720000,509200
2017-11-15,4.660000,4.790000,4.580000,4.590000,4.590000,720700
2017-11-16,4.600000,4.790000,4.560000,4.630000,4.630000,1363500
2017-11-17,4.610000,4.700000,4.430000,4.520000,4.520000,2299900
2017-11-20,4.550000,4.610000,4.490000,4.510000,4.510000,449300
2017-11-21,4.530000,4.640000,4.490000,4.530000,4.530000,531100
2017-11-22,4.550000,4.700000,4.510000,4.640000,4.640000,448200
2017-11-24,4.660000,4.750000,4.580000,4.700000,4.700000,321100
2017-11-27,4.680000,4.790000,4.500000,4.640000,4.640000,789400
2017-11-28,4.670000,4.800000,4.450000,4.770000,4.770000,1138100
2017-11-29,4.800000,4.940000,4.640000,4.680000,4.680000,809600
2017-11-30,4.690000,5.100000,4.690000,5.080000,5.080000,1265400
2017-12-01,5.080000,5.140000,4.710000,4.930000,4.930000,817900
2017-12-04,4.990000,5.050000,4.690000,4.720000,4.720000,882600
2017-12-05,4.710000,4.830000,4.640000,4.700000,4.700000,590100
2017-12-06,4.660000,4.750000,4.530000,4.590000,4.590000,554000
2017-12-07,4.610000,4.740000,4.550000,4.570000,4.570000,663300
2017-12-08,4.620000,5.260000,4.600000,5.210000,5.210000,3231300
2017-12-11,5.290000,5.290000,4.930000,5.020000,5.020000,1111500
2017-12-12,5.010000,5.020000,4.860000,4.880000,4.880000,851100
2017-12-13,4.860000,5.130000,4.860000,4.970000,4.970000,1251500
2017-12-14,4.960000,5.050000,4.810000,4.850000,4.850000,702900
2017-12-15,4.860000,5.030000,4.780000,5.000000,5.000000,3973400
2017-12-18,5.040000,5.080000,4.930000,5.000000,5.000000,790900
2017-12-19,5.020000,5.100000,4.920000,5.010000,5.010000,659700
2017-12-20,5.040000,5.090000,4.920000,5.040000,5.040000,706300
2017-12-21,5.020000,5.070000,4.980000,5.000000,5.000000,512100
2017-12-22,5.020000,5.090000,4.880000,5.090000,5.090000,789500
2017-12-26,5.060000,5.160000,4.980000,5.140000,5.140000,538300
2017-12-27,5.140000,5.230000,5.100000,5.220000,5.220000,742700
2017-12-28,5.250000,5.250000,5.020000,5.090000,5.090000,735700
2017-12-29,5.120000,5.190000,4.890000,4.910000,4.910000,1384000
2018-01-02,5.190000,5.680000,5.080000,5.440000,5.440000,2503000
2018-01-03,5.650000,5.920000,5.650000,5.820000,5.820000,2160700
2018-01-04,5.870000,5.920000,5.710000,5.760000,5.760000,1399200
2018-01-05,5.780000,5.870000,5.530000,5.610000,5.610000,1254800
2018-01-08,5.650000,5.660000,5.420000,5.480000,5.480000,1160100
2018-01-09,5.480000,5.560000,5.330000,5.470000,5.470000,509000
2018-01-10,5.440000,5.480000,5.270000,5.480000,5.480000,600400
2018-01-11,5.490000,5.750000,5.430000,5.660000,5.660000,922100
2018-01-12,5.660000,5.690000,5.530000,5.620000,5.620000,794300
2018-01-16,5.660000,5.890000,5.580000,5.650000,5.650000,1046600
2018-01-17,5.710000,5.810000,5.630000,5.670000,5.670000,787000
