Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,9.940000,9.980000,9.810000,9.890000,9.616764,1711700
2017-09-28,9.760000,10.130000,9.760000,10.090000,9.891249,2294500
2017-09-29,10.080000,10.080000,9.590000,9.670000,9.479522,3861100
2017-10-02,9.650000,9.860000,9.650000,9.710000,9.518734,2327600
2017-10-03,9.610000,9.620000,8.760000,8.820000,8.646265,13460200
2017-10-04,8.850000,9.230000,8.850000,9.190000,9.008976,4734700
2017-10-05,9.190000,9.440000,9.150000,9.410000,9.224643,2323600
2017-10-06,9.370000,9.370000,9.210000,9.320000,9.136415,1378400
2017-10-09,9.350000,9.350000,9.170000,9.190000,9.008976,930900
2017-10-10,9.290000,9.360000,9.190000,9.190000,9.008976,1434800
2017-10-11,9.210000,9.280000,9.070000,9.130000,8.950159,1279900
2017-10-12,9.110000,9.120000,8.990000,9.000000,8.822720,2148900
2017-10-13,9.040000,9.200000,8.950000,9.150000,8.969765,1716500
2017-10-16,9.170000,9.260000,9.100000,9.130000,8.950159,1508100
2017-10-17,9.110000,9.200000,9.070000,9.090000,8.910947,1111100
2017-10-18,9.110000,9.190000,9.070000,9.110000,8.930552,1115500
2017-10-19,9.060000,9.110000,8.950000,9.030000,8.852128,1069400
2017-10-20,9.000000,9.050000,8.950000,9.010000,8.832522,906500
2017-10-23,9.030000,9.070000,8.900000,8.900000,8.724689,1170700
2017-10-24,8.900000,8.940000,8.820000,8.890000,8.714886,1186000
2017-10-25,8.960000,8.970000,8.820000,8.900000,8.724689,1453300
2017-10-26,8.910000,8.910000,8.790000,8.840000,8.665872,2121300
2017-10-27,8.410000,8.410000,7.680000,8.300000,8.136508,7127600
2017-10-30,8.270000,8.300000,8.020000,8.070000,7.911038,2688300
2017-10-31,8.060000,8.180000,8.000000,8.140000,7.979659,2250000
2017-11-01,8.240000,8.410000,8.180000,8.410000,8.244341,3004600
2017-11-02,8.450000,8.640000,8.420000,8.510000,8.342372,2435200
2017-11-03,8.470000,8.520000,8.370000,8.480000,8.312962,1145600
2017-11-06,8.520000,8.720000,8.500000,8.700000,8.528628,2026300
2017-11-07,8.780000,9.010000,8.730000,8.920000,8.744295,2705900
