Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,8.320000,8.420000,8.130000,8.290000,7.617313,1544000
2017-09-28,8.350000,8.380000,8.060000,8.170000,7.528846,1267200
2017-09-29,8.110000,8.130000,7.950000,8.050000,7.418264,936200
2017-10-02,7.880000,7.950000,7.760000,7.880000,7.261605,1076100
2017-10-03,7.880000,8.030000,7.850000,7.980000,7.353758,1398400
2017-10-04,7.960000,8.100000,7.900000,7.930000,7.307681,1108200
2017-10-05,7.960000,8.110000,7.900000,8.040000,7.409049,796000
2017-10-06,7.870000,7.890000,7.730000,7.740000,7.132591,1036000
2017-10-09,7.790000,7.850000,7.690000,7.730000,7.123376,329900
2017-10-10,7.920000,7.950000,7.790000,7.800000,7.187882,889300
2017-10-11,7.610000,7.740000,7.520000,7.710000,7.104947,2286100
2017-10-12,7.570000,7.680000,7.480000,7.530000,6.939071,1165600
2017-10-13,7.650000,7.680000,7.500000,7.560000,6.966717,1073300
2017-10-16,7.650000,7.690000,7.550000,7.590000,6.994363,756300
2017-10-17,7.600000,7.650000,7.480000,7.520000,6.929856,1417200
2017-10-18,7.510000,7.570000,7.460000,7.490000,6.902210,730900
2017-10-19,7.420000,7.450000,7.310000,7.340000,6.763982,1319500
2017-10-20,7.290000,7.330000,7.130000,7.230000,6.662616,1029100
2017-10-23,7.240000,7.370000,7.200000,7.220000,6.653399,1205100
2017-10-24,7.260000,7.380000,7.200000,7.230000,6.662616,1095700
2017-10-25,7.210000,7.290000,7.140000,7.290000,6.717906,1437900
2017-10-26,7.370000,7.420000,6.930000,7.020000,6.469095,2116800
2017-10-27,7.000000,7.410000,6.900000,7.410000,6.828488,2258300
2017-10-30,7.410000,7.920000,7.410000,7.900000,7.302701,2743200
2017-10-31,7.870000,8.260000,7.810000,8.230000,7.607750,1717300
2017-11-01,8.310000,8.510000,8.100000,8.180000,7.561532,2477400
2017-11-02,8.140000,8.250000,8.040000,8.140000,7.524556,1307800
2017-11-03,8.170000,8.270000,8.130000,8.220000,7.598506,1685000
2017-11-06,8.270000,8.860000,8.270000,8.840000,8.171633,2339500
2017-11-07,8.830000,8.870000,8.580000,8.750000,8.088436,1675300
