Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,81.720001,82.000000,80.800003,81.470001,74.363403,3308400
2017-09-28,81.260002,81.480003,80.730003,81.260002,74.171715,3442200
2017-09-29,81.389999,81.680000,80.809998,81.320000,74.226486,4118100
2017-10-02,81.349998,81.610001,80.599998,80.769997,73.724464,4688500
2017-10-03,80.519997,81.309998,80.519997,80.910004,73.852264,6732600
2017-10-04,80.900002,80.959999,79.930000,80.070000,73.085533,4356800
2017-10-05,80.099998,80.940002,80.050003,80.900002,73.843132,6090800
2017-10-06,80.389999,80.470001,76.540001,76.919998,70.210320,11795600
2017-10-09,77.050003,77.220001,73.760002,74.300003,67.818863,13362400
2017-10-10,74.290001,75.430000,73.300003,74.709999,68.193085,10715900
2017-10-11,74.709999,74.970001,73.779999,73.900002,67.453735,7087400
2017-10-12,73.900002,74.570000,73.510002,73.779999,67.344200,6176400
2017-10-13,74.110001,74.199997,72.519997,72.599998,66.267128,6716300
2017-10-16,72.500000,73.400002,72.120003,72.440002,66.121086,5916900
2017-10-17,72.410004,72.910004,72.120003,72.629997,66.294518,6068700
2017-10-18,72.879997,74.559998,72.279999,74.099998,67.636284,10479600
2017-10-19,74.260002,75.199997,74.199997,74.629997,68.120049,8056700
2017-10-20,74.980003,76.500000,74.519997,76.489998,69.817810,9144900
2017-10-23,76.029999,76.480003,75.790001,75.910004,69.744316,7487100
2017-10-24,76.169998,76.430000,75.400002,76.010002,69.836174,5940200
2017-10-25,76.480003,76.620003,74.480003,75.529999,69.395180,6648700
2017-10-26,75.790001,76.470001,70.779999,73.309998,67.355492,21982500
2017-10-27,73.889999,74.989998,68.160004,68.989998,63.386375,32616300
2017-10-30,68.769997,69.660004,68.010002,68.449997,62.890236,10400900
2017-10-31,68.360001,69.339996,68.360001,68.529999,62.963722,7199300
2017-11-01,68.820000,69.529999,68.190002,69.000000,63.395573,8433800
2017-11-02,69.139999,69.919998,69.110001,69.379997,63.744705,5378500
