Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,7.350000,7.570000,7.340000,7.480000,7.480000,2169500
2017-09-28,7.470000,7.580000,7.350000,7.540000,7.540000,1724500
2017-09-29,7.550000,7.760000,7.550000,7.680000,7.680000,1635300
2017-10-02,7.710000,7.890000,7.600000,7.830000,7.830000,1983800
2017-10-03,7.800000,7.860000,7.420000,7.730000,7.730000,3296500
2017-10-04,7.720000,7.790000,7.360000,7.380000,7.380000,2536200
2017-10-05,7.390000,7.620000,7.290000,7.300000,7.300000,2762900
2017-10-06,7.250000,7.480000,7.020000,7.100000,7.100000,3197700
2017-10-09,7.000000,7.010000,6.600000,6.620000,6.620000,4280800
2017-10-10,6.630000,6.740000,6.280000,6.360000,6.360000,3728500
2017-10-11,6.360000,6.410000,6.180000,6.200000,6.200000,3235400
2017-10-12,6.250000,6.280000,5.940000,6.010000,6.010000,4681600
2017-10-13,5.390000,5.840000,5.320000,5.770000,5.770000,6577500
2017-10-16,5.770000,5.980000,5.770000,5.900000,5.900000,2153100
2017-10-17,5.940000,6.480000,5.810000,6.430000,6.430000,6782900
2017-10-18,6.420000,6.500000,5.950000,5.980000,5.980000,5340500
2017-10-19,5.890000,6.210000,5.890000,6.200000,6.200000,2692300
2017-10-20,6.330000,6.640000,6.220000,6.440000,6.440000,3611000
2017-10-23,6.450000,6.550000,6.390000,6.440000,6.440000,1501300
2017-10-24,6.440000,6.540000,6.210000,6.330000,6.330000,1850600
2017-10-25,6.310000,6.390000,6.010000,6.170000,6.170000,2810800
2017-10-26,6.060000,6.200000,5.800000,5.820000,5.820000,3208300
2017-10-27,5.810000,6.170000,5.790000,5.850000,5.850000,3526900
2017-10-30,5.820000,5.910000,5.710000,5.850000,5.850000,3489700
2017-10-31,5.810000,6.020000,5.800000,5.900000,5.900000,2584500
2017-11-01,5.800000,5.860000,5.260000,5.440000,5.440000,8602100
2017-11-02,4.830000,4.960000,4.450000,4.540000,4.540000,14165300
2017-11-03,4.460000,4.640000,4.320000,4.400000,4.400000,6227400
2017-11-06,4.370000,4.510000,4.290000,4.330000,4.330000,5253500
2017-11-07,4.370000,4.600000,4.330000,4.460000,4.460000,3815200
2017-11-08,4.470000,4.570000,4.400000,4.490000,4.490000,3304000
2017-11-09,4.430000,4.590000,4.420000,4.500000,4.500000,2018300
2017-11-10,4.470000,4.580000,4.350000,4.380000,4.380000,4179200
2017-11-13,4.380000,4.390000,4.250000,4.270000,4.270000,2368800
2017-11-14,4.260000,4.320000,4.090000,4.230000,4.230000,3755100
2017-11-15,4.220000,4.250000,3.950000,4.100000,4.100000,3178100
2017-11-16,4.150000,4.250000,4.080000,4.220000,4.220000,2268900
2017-11-17,4.230000,4.290000,4.090000,4.150000,4.150000,2632000
2017-11-20,4.140000,4.190000,3.930000,3.990000,3.990000,2563500
2017-11-21,3.980000,4.100000,3.850000,4.000000,4.000000,2458800
2017-11-22,4.010000,4.230000,4.000000,4.170000,4.170000,2641900
2017-11-24,4.210000,4.220000,4.160000,4.190000,4.190000,618700
