Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,7.050000,7.060000,6.800000,6.910000,6.910000,6445400
2017-09-29,6.930000,6.980000,6.800000,6.960000,6.960000,6067000
2017-10-02,6.940000,6.950000,6.800000,6.900000,6.900000,4640000
2017-10-03,6.710000,6.855000,6.560000,6.660000,6.660000,9016400
2017-10-04,6.670000,6.718000,6.500000,6.520000,6.520000,4889700
2017-10-05,6.530000,6.600000,6.400000,6.460000,6.460000,5362700
2017-10-06,6.460000,6.570000,6.420000,6.510000,6.510000,3247900
2017-10-09,6.520000,6.700000,6.509000,6.590000,6.590000,4793500
2017-10-10,6.600000,6.640000,6.500000,6.610000,6.610000,3393100
2017-10-11,6.610000,6.630000,6.530000,6.560000,6.560000,2500500
2017-10-12,6.560000,6.795000,6.550000,6.690000,6.690000,5786500
2017-10-13,6.740000,6.760000,6.610000,6.620000,6.620000,3121900
2017-10-16,6.650000,6.740000,6.510000,6.520000,6.520000,4408200
2017-10-17,6.540000,6.630000,6.350000,6.420000,6.420000,5191500
2017-10-18,6.450000,6.525000,6.320000,6.350000,6.350000,5290300
2017-10-19,6.290000,6.350000,6.090000,6.110000,6.110000,6682600
2017-10-20,6.220000,6.310000,6.120000,6.120000,6.120000,6009400
2017-10-23,6.150000,6.170000,6.040000,6.070000,6.070000,3742500
2017-10-24,6.110000,6.220000,6.030000,6.060000,6.060000,4746100
2017-10-25,6.100000,6.130000,5.880000,6.110000,6.110000,5343400
2017-10-26,6.100000,6.120000,5.960000,6.030000,6.030000,3463400
2017-10-27,6.030000,6.160000,6.020000,6.060000,6.060000,4573000
2017-10-30,6.040000,6.210000,6.030000,6.100000,6.100000,3669700
2017-10-31,6.110000,6.240000,6.110000,6.140000,6.140000,5549200
2017-11-01,6.250000,6.380000,6.200000,6.250000,6.250000,10553100
2017-11-02,6.080000,6.080000,5.610000,5.970000,5.970000,11551200
2017-11-03,5.970000,6.070000,5.950000,6.020000,6.020000,4369500
2017-11-06,6.000000,6.090000,5.970000,6.060000,6.060000,4562400
2017-11-07,6.110000,6.150000,6.000000,6.070000,6.070000,4715900
2017-11-08,6.030000,6.050000,5.860000,5.880000,5.880000,4937100
2017-11-09,5.870000,5.930000,5.790000,5.810000,5.810000,5875300
2017-11-10,5.810000,5.980000,5.800000,5.930000,5.930000,4000700
2017-11-13,5.900000,6.000000,5.820000,5.980000,5.980000,3187600
2017-11-14,5.910000,6.020000,5.840000,6.000000,6.000000,3464700
2017-11-15,5.920000,6.250000,5.920000,6.130000,6.130000,6042000
2017-11-16,6.040000,6.160000,5.995000,6.030000,6.030000,4260100
2017-11-17,6.000000,6.280000,5.990000,6.230000,6.230000,5313500
2017-11-20,6.250000,6.400000,6.225000,6.370000,6.370000,4838700
2017-11-21,6.380000,6.540000,6.370000,6.480000,6.480000,4226300
2017-11-22,6.490000,6.740000,6.450000,6.650000,6.650000,6209300
2017-11-24,6.690000,6.775000,6.650000,6.710000,6.710000,1973300
2017-11-27,6.710000,6.730000,6.550000,6.620000,6.620000,4046200
2017-11-28,6.630000,6.750000,6.570000,6.740000,6.740000,2802600
2017-11-29,6.780000,6.950000,6.630000,6.740000,6.740000,5168900
2017-11-30,6.780000,6.950000,6.740000,6.860000,6.860000,4786800
2017-12-01,6.840000,6.930000,6.710000,6.770000,6.770000,4741800
2017-12-04,6.840000,6.900000,6.630000,6.690000,6.690000,3953800
2017-12-05,6.825000,6.849000,6.660000,6.660000,6.660000,3766700
2017-12-06,6.640000,6.790000,6.550000,6.780000,6.780000,2952800
2017-12-07,6.740000,6.930000,6.730000,6.780000,6.780000,3191800
2017-12-08,6.830000,6.990000,6.770000,6.970000,6.970000,4598100
2017-12-11,7.010000,7.320000,6.930000,7.140000,7.140000,7104100
2017-12-12,7.180000,7.221000,6.930000,6.990000,6.990000,4568600
2017-12-13,7.000000,7.170000,6.960000,7.020000,7.020000,2627200
2017-12-14,7.000000,7.120000,6.810000,6.820000,6.820000,4648700
2017-12-15,6.380000,6.430000,6.060000,6.300000,6.300000,14843000
2017-12-18,6.280000,6.430000,6.250000,6.390000,6.390000,4369100
2017-12-19,6.390000,6.450000,6.100000,6.180000,6.180000,7276500
2017-12-20,6.220000,6.229000,6.080000,6.190000,6.190000,3106900
2017-12-21,6.180000,6.200000,6.050000,6.060000,6.060000,5047500
2017-12-22,6.020000,6.050000,5.920000,6.010000,6.010000,5367600
2017-12-26,6.010000,6.070000,5.920000,5.970000,5.970000,2957600
2017-12-27,5.950000,6.055000,5.870000,5.890000,5.890000,4979100
2017-12-28,5.880000,5.950000,5.830000,5.910000,5.910000,3326400
