Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,3.650000,3.700000,3.610000,3.690000,3.690000,2406900
2017-09-29,3.700000,3.780000,3.660000,3.760000,3.760000,2600500
2017-10-02,3.810000,3.830000,3.690000,3.780000,3.780000,2231500
2017-10-03,3.780000,3.830000,3.760000,3.770000,3.770000,2966200
2017-10-04,3.770000,3.790000,3.620000,3.700000,3.700000,2776800
2017-10-05,3.700000,3.710000,3.650000,3.710000,3.710000,2465400
2017-10-06,3.690000,3.770000,3.670000,3.760000,3.760000,2726800
2017-10-09,3.780000,3.780000,3.640000,3.650000,3.650000,2539900
2017-10-10,3.670000,3.690000,3.570000,3.590000,3.590000,1730500
2017-10-11,3.610000,3.850000,3.600000,3.800000,3.800000,5363100
2017-10-12,3.990000,4.320000,3.940000,4.170000,4.170000,9599400
2017-10-13,4.260000,4.510000,4.260000,4.330000,4.330000,7446600
2017-10-16,4.380000,4.570000,4.370000,4.420000,4.420000,6717600
2017-10-17,4.470000,4.710000,4.460000,4.630000,4.630000,10013000
2017-10-18,4.690000,4.730000,4.310000,4.340000,4.340000,6215400
2017-10-19,4.310000,4.430000,4.200000,4.370000,4.370000,4262100
2017-10-20,4.430000,4.550000,4.330000,4.430000,4.430000,3951200
2017-10-23,4.450000,4.460000,4.250000,4.280000,4.280000,4704700
2017-10-24,4.290000,4.330000,4.170000,4.180000,4.180000,2951200
2017-10-25,4.170000,4.180000,3.940000,3.960000,3.960000,5078900
2017-10-26,3.970000,3.980000,3.690000,3.730000,3.730000,7671000
2017-10-27,3.770000,3.910000,3.640000,3.890000,3.890000,5481700
2017-10-30,3.860000,3.950000,3.840000,3.930000,3.930000,4042700
2017-10-31,3.980000,4.070000,3.930000,4.010000,4.010000,3451000
2017-11-01,4.070000,4.070000,3.810000,3.890000,3.890000,4417200
2017-11-02,3.820000,3.880000,3.500000,3.850000,3.850000,3605100
2017-11-03,3.800000,3.830000,3.600000,3.770000,3.770000,2943400
2017-11-06,3.760000,3.800000,3.680000,3.710000,3.710000,3017600
2017-11-07,3.690000,3.720000,3.570000,3.630000,3.630000,4136500
2017-11-08,3.660000,3.940000,3.630000,3.920000,3.920000,4408900
2017-11-09,3.910000,3.930000,3.770000,3.860000,3.860000,5894100
2017-11-10,3.850000,3.920000,3.830000,3.900000,3.900000,2876500
2017-11-13,3.900000,4.020000,3.850000,3.980000,3.980000,3218800
2017-11-14,3.890000,4.000000,3.810000,3.970000,3.970000,4573600
2017-11-15,3.940000,3.960000,3.850000,3.870000,3.870000,4258000
2017-11-16,3.890000,4.100000,3.890000,4.090000,4.090000,4650500
2017-11-17,4.100000,4.170000,4.000000,4.100000,4.100000,4925900
2017-11-20,4.080000,4.310000,3.980000,4.280000,4.280000,5926700
