Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,11.790000,11.800000,11.290000,11.480000,11.480000,8134700
2017-09-29,11.480000,11.570000,10.960000,11.010000,11.010000,8016100
2017-10-02,10.820000,11.250000,10.700000,11.120000,11.120000,5197600
2017-10-03,11.110000,11.235000,10.990000,11.090000,11.090000,3064700
2017-10-04,11.060000,11.410000,10.160000,10.390000,10.390000,12572800
2017-10-05,10.590000,10.639000,9.610000,9.670000,9.670000,13511600
2017-10-06,9.760000,10.180000,9.750000,9.880000,9.880000,10384700
2017-10-09,9.950000,10.175000,9.710000,9.810000,9.810000,6707800
2017-10-10,9.840000,9.950000,9.705000,9.750000,9.750000,4432400
2017-10-11,9.710000,9.790000,9.420000,9.630000,9.630000,5905500
2017-10-12,9.590000,9.690000,9.470000,9.580000,9.580000,4238300
2017-10-13,9.620000,9.740000,9.535000,9.560000,9.560000,4044000
2017-10-16,9.590000,9.600000,9.030000,9.080000,9.080000,10704700
2017-10-17,9.100000,9.400000,9.050000,9.230000,9.230000,8553900
2017-10-18,9.680000,9.850000,9.460000,9.470000,9.470000,10130700
2017-10-19,9.490000,9.540000,9.170000,9.210000,9.210000,4491600
2017-10-20,9.310000,9.530000,9.240000,9.480000,9.480000,4450300
2017-10-23,9.440000,9.540000,9.310000,9.400000,9.400000,4252100
2017-10-24,9.410000,9.510000,9.370000,9.400000,9.400000,2878700
2017-10-25,9.710000,9.860000,9.460000,9.620000,9.620000,6838100
2017-10-26,9.650000,10.030000,9.640000,9.860000,9.860000,7459100
2017-10-27,10.070000,10.100000,9.760000,10.000000,10.000000,4675900
2017-10-30,10.080000,10.500000,10.050000,10.340000,10.340000,7305000
2017-10-31,10.680000,10.700000,10.220000,10.430000,10.430000,6392200
2017-11-01,10.470000,10.670000,10.290000,10.670000,10.670000,9846000
2017-11-02,9.570000,9.640000,9.000000,9.580000,9.580000,11725500
2017-11-03,9.430000,9.600000,9.100000,9.130000,9.130000,7997100
2017-11-06,9.210000,9.220000,8.790000,8.910000,8.910000,8970200
2017-11-07,9.000000,9.000000,8.810000,8.850000,8.850000,4102600
2017-11-08,8.770000,8.830000,8.610000,8.730000,8.730000,4244700
2017-11-09,8.700000,8.720000,8.320000,8.350000,8.350000,4675400
2017-11-10,8.410000,8.650000,8.360000,8.510000,8.510000,4172400
2017-11-13,8.540000,8.660000,8.350000,8.380000,8.380000,3654700
2017-11-14,8.380000,8.470000,8.130000,8.210000,8.210000,4083000
2017-11-15,8.040000,8.230000,7.960000,8.160000,8.160000,3324400
2017-11-16,8.140000,8.330000,8.140000,8.270000,8.270000,2539400
2017-11-17,8.300000,8.460000,8.260000,8.290000,8.290000,3018700
2017-11-20,8.310000,8.500000,8.310000,8.390000,8.390000,3179700
2017-11-21,8.450000,8.678000,8.401000,8.610000,8.610000,3137300
2017-11-22,8.740000,8.780000,8.570000,8.580000,8.580000,3691100
2017-11-24,8.610000,8.670000,8.500000,8.580000,8.580000,1440700
2017-11-27,8.530000,8.740000,8.370000,8.630000,8.630000,3079700
2017-11-28,8.630000,8.770000,8.617000,8.720000,8.720000,2496600
2017-11-29,8.680000,8.720000,8.400000,8.630000,8.630000,3156500
2017-11-30,8.690000,8.690000,8.460000,8.540000,8.540000,2335500
2017-12-01,8.470000,8.710000,8.450000,8.510000,8.510000,2749300
2017-12-04,8.560000,8.645000,8.210000,8.230000,8.230000,3683700
2017-12-05,8.200000,8.295000,8.040000,8.140000,8.140000,3256200
