Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,98.000000,100.000000,96.000000,100.000000,100.000000,356900
2017-09-29,99.599998,104.400002,98.400002,104.000000,104.000000,635200
2017-10-02,104.000000,105.000000,100.199997,101.800003,101.800003,325900
2017-10-03,102.000000,106.599998,101.599998,105.599998,105.599998,457700
2017-10-04,105.199997,106.800003,103.199997,103.599998,103.599998,318200
2017-10-05,103.400002,103.599998,101.199997,102.800003,102.800003,351700
2017-10-06,103.400002,103.400002,100.199997,100.599998,100.599998,230800
2017-10-09,100.400002,102.400002,99.800003,101.199997,101.199997,316500
2017-10-10,101.400002,102.199997,98.599998,99.800003,99.800003,238800
2017-10-11,96.000000,98.199997,95.400002,96.599998,96.599998,471900
2017-10-12,96.400002,96.599998,93.199997,93.400002,93.400002,467200
2017-10-13,93.199997,94.000000,92.199997,92.599998,92.599998,203200
2017-10-16,94.000000,97.000000,93.800003,94.000000,94.000000,464400
2017-10-17,95.000000,99.199997,94.400002,99.000000,99.000000,335100
2017-10-18,100.000000,102.400002,99.400002,100.000000,100.000000,471600
2017-10-19,99.800003,100.599998,97.400002,99.000000,99.000000,278600
2017-10-20,99.599998,99.599998,91.199997,96.000000,96.000000,974600
2017-10-23,95.599998,95.599998,92.000000,92.199997,92.199997,213800
2017-10-24,93.400002,94.000000,92.199997,93.400002,93.400002,231600
2017-10-25,92.800003,94.400002,92.800003,93.199997,93.199997,148800
2017-10-26,93.400002,94.400002,91.599998,92.199997,92.199997,417000
2017-10-27,92.000000,92.800003,89.800003,92.800003,92.800003,370500
2017-10-30,92.400002,94.400002,92.000000,92.599998,92.599998,370700
2017-10-31,93.000000,95.800003,91.199997,95.400002,95.400002,847900
2017-11-01,100.400002,103.000000,96.800003,102.400002,102.400002,1089900
2017-11-02,103.199997,106.599998,102.199997,105.400002,105.400002,751400
2017-11-03,104.000000,109.800003,104.000000,109.199997,109.199997,708000
2017-11-06,106.199997,112.599998,106.199997,109.599998,109.599998,547700
2017-11-07,109.599998,109.800003,106.599998,108.800003,108.800003,385700
2017-11-08,109.400002,111.800003,106.400002,111.800003,111.800003,460300
2017-11-09,110.800003,113.400002,110.199997,112.199997,112.199997,344100
2017-11-10,112.800003,112.800003,107.000000,107.400002,107.400002,577600
2017-11-13,107.400002,107.599998,105.400002,106.400002,106.400002,427600
2017-11-14,105.800003,107.000000,103.199997,103.599998,103.599998,279200
2017-11-15,102.800003,107.199997,101.800003,104.400002,104.400002,624400
2017-11-16,104.800003,109.199997,104.800003,108.800003,108.800003,446800
2017-11-17,108.199997,111.000000,108.199997,109.400002,109.400002,411000
2017-11-20,109.800003,111.800003,109.400002,110.199997,110.199997,239300
2017-11-21,110.400002,114.000000,110.199997,112.400002,112.400002,401400
2017-11-22,112.800003,114.000000,112.400002,113.599998,113.599998,211400
2017-11-24,114.000000,115.199997,114.000000,114.400002,114.400002,147600
2017-11-27,114.400002,115.000000,111.400002,113.800003,113.800003,358800
2017-11-28,114.000000,119.800003,113.000000,116.400002,116.400002,572700
2017-11-29,116.800003,118.599998,111.400002,115.199997,115.199997,544000
2017-11-30,115.000000,116.400002,112.000000,112.800003,112.800003,580000
2017-12-01,113.199997,115.199997,109.400002,112.599998,112.599998,424400
2017-12-04,113.199997,115.800003,112.199997,114.599998,114.599998,537400
2017-12-05,114.000000,115.199997,113.000000,114.199997,114.199997,293600
2017-12-06,114.199997,116.599998,113.800003,115.800003,115.800003,371000
2017-12-07,116.400002,117.000000,114.199997,114.400002,114.400002,283700
2017-12-08,115.400002,116.800003,115.000000,116.199997,116.199997,324100
2017-12-11,116.199997,117.400002,115.599998,117.199997,117.199997,344500
2017-12-12,116.000000,117.599998,110.400002,111.000000,111.000000,1082800
2017-12-13,111.599998,113.000000,109.800003,110.199997,110.199997,357100
2017-12-14,110.599998,111.599998,105.800003,106.199997,106.199997,383700
2017-12-15,106.400002,108.199997,103.400002,105.599998,105.599998,556700
2017-12-18,106.800003,107.599998,104.599998,107.400002,107.400002,407700
2017-12-19,107.800003,109.000000,106.400002,107.199997,107.199997,384500
2017-12-20,107.400002,108.599998,107.000000,107.800003,107.800003,166900
2017-12-21,108.199997,109.000000,105.000000,107.400002,107.400002,317300
