Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,7.145000,7.155000,7.105000,7.135000,6.424365,8390000
2017-09-29,7.145000,7.335000,7.145000,7.295000,6.568429,12034800
2017-10-02,7.295000,7.355000,7.255000,7.340000,6.608948,10237800
2017-10-03,7.280000,7.310000,7.195000,7.275000,6.550421,15808200
2017-10-04,7.260000,7.295000,7.240000,7.255000,6.532413,10879200
2017-10-05,7.275000,7.295000,7.230000,7.260000,6.536916,4980800
2017-10-06,7.305000,7.335000,7.280000,7.315000,6.586437,4455800
2017-10-09,7.335000,7.355000,7.310000,7.345000,6.613449,3759200
2017-10-10,7.400000,7.425000,7.375000,7.380000,6.644963,7066600
2017-10-11,7.370000,7.390000,7.265000,7.290000,6.563928,10099000
2017-10-12,7.325000,7.325000,7.285000,7.305000,6.577433,6234600
2017-10-13,7.355000,7.380000,7.330000,7.355000,6.622454,5803000
2017-10-16,7.410000,7.425000,7.285000,7.310000,6.581935,11782400
2017-10-17,7.310000,7.320000,7.200000,7.230000,6.509903,15113800
2017-10-18,7.250000,7.300000,7.190000,7.290000,6.563928,7804800
2017-10-19,7.275000,7.370000,7.245000,7.350000,6.617951,5394800
2017-10-20,7.335000,7.375000,7.280000,7.280000,6.554924,11967400
2017-10-23,7.350000,7.485000,7.305000,7.415000,6.676477,19089400
2017-10-24,7.175000,7.280000,7.075000,7.260000,6.536916,23529000
2017-10-25,7.340000,7.520000,7.330000,7.505000,6.757514,16565200
2017-10-26,7.520000,7.545000,7.480000,7.505000,6.757514,13338200
2017-10-27,7.485000,7.540000,7.435000,7.500000,6.753012,14930000
2017-10-30,7.415000,7.505000,7.395000,7.445000,6.703490,12135800
2017-10-31,7.355000,7.475000,7.355000,7.425000,6.776748,13989800
2017-11-01,7.450000,7.470000,7.295000,7.325000,6.871051,9712600
2017-11-02,7.345000,7.365000,7.285000,7.295000,6.842910,6332400
2017-11-03,7.340000,7.360000,7.305000,7.315000,6.861671,4694600
2017-11-06,7.335000,7.440000,7.330000,7.410000,6.950783,5256000
2017-11-07,7.505000,7.545000,7.410000,7.425000,6.964854,9363200
2017-11-08,7.440000,7.485000,7.435000,7.460000,6.997685,5998800
2017-11-09,7.425000,7.495000,7.425000,7.490000,7.025826,9211400
2017-11-10,7.495000,7.515000,7.475000,7.505000,7.039896,7686000
2017-11-13,7.450000,7.450000,7.375000,7.400000,6.941403,5838800
2017-11-14,7.405000,7.480000,7.350000,7.455000,6.992995,9304200
2017-11-15,7.440000,7.480000,7.160000,7.420000,6.960164,4178000
2017-11-16,7.615000,7.695000,7.605000,7.635000,7.161840,11900000
2017-11-17,7.575000,7.610000,7.560000,7.595000,7.124319,6428800
2017-11-20,7.565000,7.575000,7.505000,7.540000,7.072727,4174600
2017-11-21,7.585000,7.615000,7.545000,7.560000,7.091487,6191800
2017-11-22,7.565000,7.610000,7.560000,7.600000,7.129009,3485000
2017-11-24,7.760000,7.860000,7.715000,7.805000,7.321304,13455600
2017-11-27,7.795000,7.805000,7.745000,7.765000,7.283783,10130000
2017-11-28,7.720000,7.855000,7.710000,7.780000,7.297853,7677000
2017-11-29,7.780000,7.785000,7.715000,7.750000,7.269712,5274000
2017-11-30,7.710000,7.810000,7.685000,7.780000,7.297853,10090200
2017-12-01,7.640000,7.700000,7.490000,7.530000,7.063347,11063000
2017-12-04,7.800000,7.880000,7.720000,7.730000,7.250952,14086000
2017-12-05,7.760000,7.875000,7.755000,7.845000,7.358825,11253200
2017-12-06,7.790000,7.845000,7.775000,7.780000,7.297853,8323600
2017-12-07,7.825000,7.865000,7.805000,7.835000,7.349445,5960800
2017-12-08,7.805000,7.860000,7.805000,7.840000,7.354135,6103800
2017-12-11,7.860000,7.935000,7.850000,7.930000,7.438557,6356400
2017-12-12,7.925000,7.980000,7.875000,7.955000,7.462008,10178200
2017-12-13,7.950000,8.035000,7.940000,7.945000,7.452628,11613600
2017-12-14,7.965000,8.000000,7.945000,7.950000,7.457318,9271600
2017-12-15,8.010000,8.065000,8.000000,8.030000,7.532361,9597000
2017-12-18,8.035000,8.040000,7.980000,8.020000,7.522981,7508200
2017-12-19,7.985000,8.025000,7.955000,7.995000,7.499529,5109200
2017-12-20,8.025000,8.040000,7.990000,8.000000,7.504220,6692800
2017-12-21,8.085000,8.115000,8.025000,8.045000,7.546431,8728200
2017-12-22,8.155000,8.185000,8.045000,8.050000,7.551121,7653400
2017-12-26,8.065000,8.135000,8.055000,8.105000,7.602712,4099600
2017-12-27,8.095000,8.115000,8.075000,8.090000,7.588642,9322600
2017-12-28,8.120000,8.150000,8.075000,8.080000,7.579262,5316200
2017-12-29,8.170000,8.185000,8.105000,8.110000,7.607402,7103800
2018-01-02,8.135000,8.195000,8.115000,8.145000,7.640234,12298200
2018-01-03,8.120000,8.135000,8.050000,8.075000,7.574572,10250800
2018-01-04,8.100000,8.100000,8.010000,8.025000,7.527670,16272000
2018-01-05,8.085000,8.190000,8.075000,8.175000,7.668375,9813600
2018-01-08,8.190000,8.260000,8.170000,8.240000,7.729346,11198200
2018-01-09,8.275000,8.380000,8.275000,8.370000,7.851290,12924400
2018-01-10,8.350000,8.575000,8.350000,8.495000,7.968544,16472200
2018-01-11,8.570000,8.685000,8.545000,8.635000,8.099867,35177800
2018-01-12,8.460000,8.550000,8.360000,8.405000,7.884121,17614000
2018-01-16,8.875000,9.120000,8.845000,8.890000,8.339065,34275200
2018-01-17,9.050000,9.125000,9.025000,9.060000,8.498530,25586000
2018-01-18,9.080000,9.095000,8.915000,8.960000,8.404725,17432600
2018-01-19,8.955000,9.005000,8.950000,8.995000,8.437556,7706400
2018-01-22,9.035000,9.155000,8.995000,9.145000,8.578261,19282400
2018-01-23,9.205000,9.290000,9.180000,9.225000,8.653304,12009000
2018-01-24,9.295000,9.355000,9.220000,9.230000,8.657993,15833400
2018-01-25,9.265000,9.270000,9.180000,9.225000,8.653304,9798200
2018-01-26,9.250000,9.275000,9.165000,9.250000,8.676754,7542800
2018-01-29,9.285000,9.335000,9.250000,9.275000,8.700204,12540800
2018-01-30,9.115000,9.185000,9.090000,9.125000,8.559500,12589400
2018-01-31,9.125000,9.130000,8.975000,9.005000,8.446938,19138600
2018-02-01,9.045000,9.045000,8.925000,8.965000,8.409417,10878600
2018-02-02,8.925000,8.975000,8.865000,8.875000,8.324994,15280200
2018-02-05,8.830000,8.940000,8.660000,8.685000,8.146770,13482400
2018-02-06,8.570000,8.770000,8.515000,8.735000,8.193670,13102200
2018-02-07,8.695000,8.875000,8.650000,8.740000,8.198360,9494000
2018-02-08,8.855000,8.865000,8.550000,8.555000,8.024825,10278800
2018-02-09,8.600000,8.775000,8.440000,8.680000,8.142078,24858600
2018-02-12,8.640000,8.860000,8.615000,8.810000,8.264022,18193800
2018-02-13,8.770000,8.795000,8.675000,8.730000,8.188979,9333400
2018-02-14,8.625000,8.785000,8.595000,8.785000,8.240572,13086800
2018-02-15,8.820000,8.850000,8.715000,8.805000,8.259334,10147000
2018-02-16,8.810000,8.850000,8.780000,8.795000,8.249950,5777800
2018-02-20,8.750000,8.860000,8.750000,8.820000,8.273402,6754200
2018-02-21,8.890000,9.000000,8.830000,8.835000,8.287472,8143800
2018-02-22,8.940000,8.955000,8.850000,8.900000,8.348444,8334600
2018-02-23,8.920000,8.980000,8.865000,8.980000,8.423486,7406600
2018-02-26,8.915000,8.935000,8.810000,8.840000,8.292162,7132400
2018-02-27,8.860000,8.885000,8.760000,8.760000,8.217121,9465000
2018-02-28,8.940000,8.985000,8.830000,8.830000,8.282784,17073800
2018-03-01,8.855000,8.895000,8.685000,8.750000,8.207740,10454800
2018-03-02,8.740000,8.895000,8.725000,8.875000,8.324994,6620800
2018-03-05,8.820000,9.015000,8.800000,9.000000,8.442246,8560600
2018-03-06,8.965000,9.055000,8.940000,8.995000,8.437556,12470400
2018-03-07,8.965000,8.975000,8.900000,8.945000,8.390656,5775000
2018-03-08,8.950000,9.025000,8.900000,9.015000,8.456319,7832800
2018-03-09,9.025000,9.125000,9.020000,9.080000,8.517289,9874000
2018-03-12,9.125000,9.245000,9.125000,9.205000,8.634543,11646600
2018-03-13,9.225000,9.270000,9.150000,9.195000,8.625161,5638600
2018-03-14,9.230000,9.245000,9.170000,9.190000,8.620472,5120200
2018-03-15,9.220000,9.240000,9.145000,9.150000,8.582952,6369400
2018-03-16,9.125000,9.205000,9.115000,9.150000,8.582952,9818000
