Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,21.530001,21.690001,21.320000,21.610001,21.150002,1910000
2017-09-28,21.610001,22.280001,21.610001,22.219999,21.747011,4690000
2017-09-29,23.150000,24.610001,23.030001,24.120001,23.606573,12785100
2017-10-02,24.120001,24.790001,23.950001,24.700001,24.174223,6740200
2017-10-03,24.900000,25.160000,24.490000,24.650000,24.125288,4744300
2017-10-04,24.709999,25.500000,24.670000,25.370001,24.829962,4691900
2017-10-05,25.459999,25.740000,25.120001,25.639999,25.094215,3163200
2017-10-06,25.639999,26.070000,25.629999,25.930000,25.378044,3558600
2017-10-09,25.959999,26.420000,25.639999,26.320000,25.759745,2851100
2017-10-10,26.450001,26.790001,26.290001,26.740000,26.170803,2067400
2017-10-11,26.750000,27.219999,26.709999,27.180000,26.601435,1993700
2017-10-12,27.139999,27.500000,26.990000,27.410000,26.826538,2248600
2017-10-13,27.510000,27.670000,26.879999,26.889999,26.317608,3000200
2017-10-16,26.900000,27.219999,26.900000,27.160000,26.581860,2268100
2017-10-17,27.200001,27.280001,27.010000,27.170000,26.591650,1618000
2017-10-18,27.230000,27.389999,26.860001,27.030001,26.454630,2423100
2017-10-19,26.510000,27.040001,26.209999,27.030001,26.454630,1905900
2017-10-20,27.219999,27.340000,26.920000,27.049999,26.474205,1609200
2017-10-23,27.180000,27.219999,26.860001,26.930000,26.356758,1306700
2017-10-24,27.170000,27.590000,27.110001,27.590000,27.002705,2527700
2017-10-25,27.260000,27.770000,26.870001,26.930000,26.356758,2725200
2017-10-26,27.180000,27.219999,26.820000,26.900000,26.327396,1606200
2017-10-27,27.040001,27.160000,26.639999,27.049999,26.474205,1364600
2017-10-30,27.389999,27.600000,26.860001,26.990000,26.415480,3003700
2017-10-31,27.110001,27.549999,26.860001,27.430000,26.846115,1798400
2017-11-01,27.620001,27.730000,27.330000,27.540001,26.978361,1742600
2017-11-02,27.680000,27.700001,26.260000,26.719999,26.175083,3218400
2017-11-03,26.730000,27.420000,26.559999,27.120001,26.566927,3074400
2017-11-06,27.170000,27.980000,27.000000,27.980000,27.409389,2099300
2017-11-07,28.000000,28.549999,28.000000,28.389999,27.811026,3582900
2017-11-08,28.389999,28.459999,27.820000,28.340000,27.762047,2736000
2017-11-09,28.120001,28.559999,27.920000,28.510000,27.928574,2722900
2017-11-10,28.459999,28.530001,28.059999,28.110001,27.536736,2297400
2017-11-13,28.120001,28.549999,27.959999,28.440001,27.860006,2261100
2017-11-14,28.290001,28.690001,28.270000,28.650000,28.065725,1480400
2017-11-15,28.510000,28.930000,28.150000,28.650000,28.065725,2993600
2017-11-16,28.790001,29.000000,28.299999,28.379999,27.801229,1903600
2017-11-17,28.290001,28.940001,28.290001,28.910000,28.320419,2173500
2017-11-20,28.910000,29.150000,28.610001,28.690001,28.104906,1327400
2017-11-21,28.910000,29.200001,28.840000,29.040001,28.447771,2026500
2017-11-22,29.070000,29.190001,28.639999,28.900000,28.310627,1040400
2017-11-24,29.000000,29.330000,28.980000,29.100000,28.506546,680600
2017-11-27,29.090000,29.110001,28.740000,28.830000,28.242056,1842000
2017-11-28,28.889999,30.020000,28.840000,30.000000,29.388195,2907200
2017-11-29,29.920000,30.790001,29.780001,30.540001,29.917181,2911000
2017-11-30,30.780001,31.410000,30.430000,31.360001,30.720457,4144300
2017-12-01,31.260000,31.400000,29.780001,30.780001,30.152287,3545600
2017-12-04,31.240000,31.469999,30.440001,30.450001,29.829018,2498000
2017-12-05,29.980000,30.549999,29.680000,30.120001,29.505743,2400400
2017-12-06,29.950001,30.590000,29.900000,30.090000,29.476358,1743000
2017-12-07,30.020000,30.809999,30.010000,30.610001,29.985752,1210300
2017-12-08,30.820000,31.290001,30.540001,31.160000,30.524536,1323200
2017-12-11,31.320000,31.480000,30.780001,30.920000,30.289429,1265400
2017-12-12,30.920000,31.430000,30.799999,30.870001,30.240452,1456100
2017-12-13,30.900000,31.129999,30.610001,30.680000,30.054327,1675600
2017-12-14,30.790001,31.190001,30.540001,30.780001,30.152287,3007000
2017-12-15,30.910000,31.190001,30.780001,31.080000,30.446169,3684800
2017-12-18,31.360001,31.950001,31.139999,31.670000,31.024136,2440400
2017-12-19,31.100000,31.370001,30.590000,30.690001,30.064125,2114100
2017-12-20,30.889999,30.959999,30.480000,30.910000,30.279633,1032800
2017-12-21,31.180000,31.680000,30.870001,31.660000,31.014341,1393400
2017-12-22,31.840000,31.950001,31.450001,31.530001,30.886988,934100
2017-12-26,31.600000,31.920000,31.570000,31.680000,31.033932,1280800
2017-12-27,31.770000,32.200001,31.770000,31.820000,31.171076,1031900
2017-12-28,31.910000,32.349998,31.910000,32.250000,31.592310,1303700
2017-12-29,32.430000,32.480000,31.860001,31.950001,31.298428,1368000
2018-01-02,31.500000,32.220001,31.360001,32.200001,31.543329,2102200
2018-01-03,32.320000,33.779999,32.230000,33.639999,32.953960,2140500
2018-01-04,34.020000,34.110001,32.470001,33.139999,32.464153,2386000
2018-01-05,33.419998,33.459999,32.610001,33.400002,32.718857,2244800
2018-01-08,33.520000,33.880001,33.150002,33.830002,33.140087,1906300
2018-01-09,34.020000,34.549999,33.770000,34.200001,33.502541,3007700
2018-01-10,34.009998,34.580002,33.689999,34.349998,33.649483,4268700
2018-01-11,36.099998,38.799999,35.849998,38.580002,37.793217,13251400
2018-01-12,38.060001,38.160000,36.889999,36.980000,36.225838,4995600
2018-01-16,37.279999,37.330002,35.330002,35.349998,34.629086,3425000
2018-01-17,35.340000,35.959999,35.110001,35.869999,35.138474,2972900
2018-01-18,35.730000,35.840000,34.820000,35.009998,34.296021,2649400
2018-01-19,35.169998,35.240002,34.630001,34.990002,34.276428,2045900
2018-01-22,34.950001,35.220001,34.639999,35.020000,34.305813,2154900
2018-01-23,35.060001,35.250000,34.450001,34.959999,34.247040,1607300
2018-01-24,34.970001,35.259998,34.110001,34.549999,33.845402,2374200
2018-01-25,34.590000,34.599998,32.849998,33.770000,33.081310,3272600
2018-01-26,34.150002,34.230000,33.060001,33.160000,32.483749,3068100
2018-01-29,33.009998,33.130001,32.230000,32.660000,31.993946,3111500
2018-01-30,32.000000,33.060001,31.629999,32.470001,31.807823,3886500
2018-01-31,33.009998,33.180000,31.400000,31.520000,30.877192,3145000
2018-02-01,31.219999,32.209999,31.049999,31.629999,30.984947,3429100
