Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,54.099998,54.500000,53.599998,54.150002,47.969429,619100
2017-09-28,54.099998,54.799999,53.849998,54.500000,48.279472,671600
2017-09-29,54.549999,56.250000,54.299999,55.500000,49.165340,391200
2017-10-02,55.549999,55.849998,54.750000,55.700001,49.342506,377000
2017-10-03,55.700001,56.000000,55.000000,55.950001,49.563972,218600
2017-10-04,55.900002,56.799999,55.900002,56.400002,49.962605,180700
2017-10-05,56.450001,57.049999,56.299999,56.799999,50.316956,228200
2017-10-06,56.700001,56.750000,55.849998,56.000000,49.608269,231200
2017-10-09,56.099998,56.150002,54.450001,54.849998,48.589523,270000
2017-10-10,55.099998,55.360001,54.549999,55.000000,48.722408,155700
2017-10-11,55.000000,55.299999,54.799999,55.200001,48.899570,186800
2017-10-12,55.049999,55.099998,54.150002,54.650002,48.412357,255000
2017-10-13,54.849998,55.549999,54.299999,55.000000,48.722408,244800
2017-10-16,55.200001,55.529999,54.500000,54.599998,48.368061,154400
2017-10-17,54.750000,54.900002,53.599998,53.650002,47.526493,390300
2017-10-18,53.750000,54.250000,53.549999,53.849998,47.703659,246600
2017-10-19,53.599998,53.630001,53.049999,53.400002,47.305031,219200
2017-10-20,53.799999,54.200001,53.450001,53.700001,47.570786,182400
2017-10-23,53.799999,54.200001,52.750000,53.200001,47.127853,576700
2017-10-24,53.250000,53.250000,52.549999,52.849998,46.817799,333700
2017-10-25,52.849998,54.349998,52.450001,53.500000,47.393612,468900
2017-10-26,52.500000,54.849998,52.250000,53.500000,47.393612,548100
2017-10-27,53.500000,53.549999,50.950001,52.549999,46.552036,802900
2017-10-30,52.500000,52.650002,51.549999,52.450001,46.463455,424400
2017-10-31,52.549999,53.150002,51.950001,53.000000,46.950680,1702900
2017-11-01,53.700001,53.700001,51.599998,52.200001,46.241993,561200
2017-11-02,51.799999,51.849998,51.000000,51.650002,45.754772,692300
2017-11-03,51.700001,51.700001,50.950001,51.150002,45.311840,550400
2017-11-06,51.000000,51.650002,50.630001,51.549999,45.666176,567300
2017-11-07,51.400002,52.150002,51.400002,51.900002,45.976234,286400
2017-11-08,51.650002,52.349998,51.500000,52.000000,46.064819,181300
2017-11-09,51.599998,53.349998,51.599998,53.349998,47.260735,600800
2017-11-10,53.400002,53.900002,52.849998,53.200001,47.127853,357600
2017-11-13,52.750000,52.849998,52.299999,52.849998,46.817799,247100
2017-11-14,52.650002,52.849998,52.150002,52.450001,46.463455,550600
2017-11-15,52.200001,54.849998,51.799999,54.250000,48.058006,681900
2017-11-16,56.000000,60.200001,56.000000,59.950001,53.107422,1269200
2017-11-17,59.799999,61.799999,59.799999,60.900002,53.948986,628300
2017-11-20,60.799999,61.549999,60.500000,61.200001,54.214748,408200
2017-11-21,61.299999,61.299999,60.180000,60.650002,53.727524,649900
2017-11-22,60.700001,61.099998,60.150002,60.150002,53.284592,460500
2017-11-24,60.250000,61.200001,60.200001,61.000000,54.037575,123400
2017-11-27,68.599998,70.849998,65.650002,67.550003,59.839977,3327900
2017-11-28,68.500000,69.050003,66.550003,67.300003,59.618507,1652100
2017-11-29,66.650002,69.650002,66.500000,68.449997,61.109417,785800
2017-11-30,68.550003,69.250000,67.699997,68.150002,60.841587,492600
2017-12-01,66.699997,68.349998,65.750000,67.900002,60.618397,973000
2017-12-04,67.900002,70.849998,67.900002,70.550003,62.984215,913300
2017-12-05,70.900002,71.000000,69.900002,70.000000,62.493183,446400
2017-12-06,70.150002,70.349998,69.150002,70.199997,62.671745,375000
2017-12-07,70.050003,71.580002,70.050003,71.199997,63.564514,622000
2017-12-08,71.550003,71.849998,70.400002,71.650002,63.966259,567800
2017-12-11,71.550003,72.080002,71.250000,71.800003,64.100166,425600
2017-12-12,72.150002,72.250000,70.400002,71.199997,63.564514,420100
2017-12-13,71.449997,71.449997,70.470001,70.500000,62.939571,331600
2017-12-14,70.750000,71.000000,69.349998,69.650002,62.180721,417700
2017-12-15,69.750000,70.800003,69.400002,69.500000,62.046814,757000
2017-12-18,70.050003,70.900002,69.599998,70.349998,62.805660,528700
2017-12-19,70.300003,70.849998,69.650002,70.500000,62.939571,245900
2017-12-20,70.449997,70.650002,69.650002,69.699997,62.225365,306500
