Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,1.850000,1.910000,1.800000,1.850000,1.850000,1963500
2017-09-28,1.860000,2.240000,1.810000,2.220000,2.220000,6049700
2017-09-29,2.250000,2.250000,2.090000,2.170000,2.170000,3345800
2017-10-02,2.340000,2.460000,2.010000,2.340000,2.340000,9296900
2017-10-03,2.360000,2.990000,2.310000,2.820000,2.820000,12880900
2017-10-04,3.030000,3.590000,3.010000,3.540000,3.540000,18970900
2017-10-05,3.690000,6.510000,3.620000,4.960000,4.960000,75826800
2017-10-06,5.170000,5.750000,4.380000,5.030000,5.030000,36140200
2017-10-09,5.450000,5.480000,4.850000,5.330000,5.330000,13217500
2017-10-10,5.890000,6.960000,5.720000,6.710000,6.710000,48234700
2017-10-11,6.230000,6.270000,4.990000,5.470000,5.470000,33602700
2017-10-12,5.030000,5.870000,4.850000,5.470000,5.470000,20830000
2017-10-13,5.320000,5.590000,5.210000,5.280000,5.280000,6418300
2017-10-16,5.500000,5.720000,5.380000,5.420000,5.420000,10125000
2017-10-17,5.370000,5.420000,4.710000,4.750000,4.750000,12768100
2017-10-18,4.750000,4.760000,4.080000,4.130000,4.130000,12835200
2017-10-19,3.900000,4.160000,3.730000,3.960000,3.960000,11113300
2017-10-20,3.930000,4.450000,3.870000,4.110000,4.110000,11426100
2017-10-23,4.210000,4.250000,3.700000,3.700000,3.700000,9517700
2017-10-24,3.650000,3.840000,3.340000,3.610000,3.610000,13300400
2017-10-25,3.640000,3.750000,3.380000,3.410000,3.410000,6632900
2017-10-26,3.380000,3.680000,3.250000,3.520000,3.520000,7120900
2017-10-27,3.510000,3.620000,3.370000,3.370000,3.370000,4577600
2017-10-30,3.370000,3.550000,3.370000,3.430000,3.430000,4264700
2017-10-31,3.460000,3.500000,3.280000,3.290000,3.290000,2811700
2017-11-01,3.280000,3.360000,3.000000,3.010000,3.010000,5968700
2017-11-02,2.940000,3.350000,2.780000,3.230000,3.230000,7467700
2017-11-03,3.250000,3.490000,3.150000,3.260000,3.260000,5331600
2017-11-06,3.160000,3.400000,3.160000,3.230000,3.230000,2895300
2017-11-07,3.210000,3.310000,3.160000,3.250000,3.250000,3272100
2017-11-08,2.910000,3.150000,2.770000,3.000000,3.000000,5674700
2017-11-09,2.900000,3.300000,2.890000,3.260000,3.260000,3108800
2017-11-10,3.240000,3.680000,3.210000,3.240000,3.240000,6259600
2017-11-13,3.260000,3.280000,3.100000,3.210000,3.210000,2575300
2017-11-14,3.180000,3.200000,2.980000,3.110000,3.110000,2738900
2017-11-15,3.000000,3.310000,2.990000,3.240000,3.240000,3128900
2017-11-16,3.260000,3.380000,3.100000,3.200000,3.200000,3355700
2017-11-17,3.220000,3.300000,3.170000,3.260000,3.260000,2442800
2017-11-20,3.230000,3.270000,3.070000,3.170000,3.170000,2669500
2017-11-21,3.100000,3.180000,3.050000,3.100000,3.100000,2360300
2017-11-22,3.070000,3.090000,2.950000,3.030000,3.030000,3750100
2017-11-24,3.040000,3.040000,2.920000,3.000000,3.000000,1186800
2017-11-27,2.920000,2.980000,2.820000,2.880000,2.880000,3427300
2017-11-28,2.860000,3.190000,2.850000,3.160000,3.160000,5452000
2017-11-29,3.240000,3.290000,3.070000,3.220000,3.220000,4042600
2017-11-30,3.250000,3.270000,3.070000,3.110000,3.110000,2548300
2017-12-01,3.090000,3.160000,2.990000,3.130000,3.130000,2310100
2017-12-04,3.150000,3.220000,2.990000,3.010000,3.010000,2687300
