Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,1.996000,2.020000,1.996000,2.000000,1.912875,4000
2017-09-28,1.976000,1.976000,1.948000,1.948000,1.863140,14300
2017-09-29,1.968000,2.028000,1.960000,1.964000,1.878443,27300
2017-10-02,1.960000,1.976000,1.780000,1.780000,1.702459,19900
2017-10-03,1.952000,2.068000,1.952000,2.060000,1.970261,2500
2017-10-04,2.060000,2.060000,1.948000,2.040000,1.951133,900
2017-10-05,2.028000,2.028000,2.028000,2.028000,1.939655,300
2017-10-06,2.028000,2.028000,2.028000,2.028000,1.939655,0
2017-10-09,2.040000,2.040000,2.040000,2.040000,1.951133,1500
2017-10-10,1.960000,1.996000,1.900000,1.968000,1.882269,6200
2017-10-11,1.964000,2.000000,1.964000,2.000000,1.912875,900
2017-10-12,2.000000,2.000000,1.956000,1.956000,1.870792,1000
2017-10-13,2.000000,2.000000,1.920000,1.968000,1.882269,3800
2017-10-16,1.932000,1.996000,1.872000,1.940000,1.855488,21600
2017-10-17,1.936000,1.984000,1.920000,1.984000,1.897572,9700
2017-10-18,1.992000,2.000000,1.964000,2.000000,1.912875,8400
2017-10-19,2.000000,2.000000,2.000000,2.000000,1.912875,5900
2017-10-20,1.980000,1.980000,1.840000,1.840000,1.759845,11100
2017-10-23,1.816000,1.920000,1.816000,1.876000,1.794276,2800
2017-10-24,1.800000,1.840000,1.780000,1.836000,1.756019,6300
2017-10-25,1.840000,1.840000,1.560000,1.760000,1.683330,28200
2017-10-26,1.760000,1.816000,1.600000,1.816000,1.736890,3200
2017-10-27,1.816000,1.816000,1.816000,1.816000,1.736890,300
2017-10-30,1.792000,1.792000,1.792000,1.792000,1.713936,100
2017-10-31,1.760000,1.760000,1.696000,1.748000,1.671853,4400
2017-11-01,1.748000,1.784000,1.716000,1.716000,1.641247,3800
2017-11-02,1.796000,1.820000,1.772000,1.772000,1.694807,1200
2017-11-03,1.776000,1.840000,1.776000,1.840000,1.759845,2500
2017-11-06,1.776000,1.876000,1.744000,1.868000,1.786625,17500
2017-11-07,1.828000,1.828000,1.792000,1.792000,1.713936,200
2017-11-08,1.776000,1.864000,1.776000,1.864000,1.782799,3900
2017-11-09,1.876000,2.000000,1.840000,1.996000,1.909049,3700
2017-11-10,1.912000,1.912000,1.912000,1.912000,1.828709,300
2017-11-13,1.844000,1.844000,1.844000,1.844000,1.763671,300
2017-11-14,1.868000,1.868000,1.868000,1.868000,1.786625,100
2017-11-15,1.856000,1.856000,1.732000,1.808000,1.729239,14000
2017-11-16,1.784000,1.896000,1.784000,1.896000,1.813405,3400
2017-11-17,1.880000,1.944000,1.836000,1.836000,1.756019,12800
2017-11-20,1.760000,1.828000,1.728000,1.828000,1.748367,25200
2017-11-21,1.748000,1.832000,1.736000,1.736000,1.660375,5500
2017-11-22,1.860000,1.908000,1.832000,1.908000,1.824882,8300
2017-11-24,1.904000,1.904000,1.816000,1.816000,1.736890,2400
2017-11-27,1.816000,1.892000,1.760000,1.892000,1.809579,10100
2017-11-28,1.892000,1.892000,1.820000,1.884000,1.801928,25800
2017-11-29,1.880000,1.896000,1.828000,1.896000,1.813405,1700
2017-11-30,1.904000,1.904000,1.868000,1.868000,1.786625,1300
2017-12-01,1.992000,1.992000,1.928000,1.960000,1.874617,5500
2017-12-04,1.900000,1.900000,1.740000,1.800000,1.721587,63000
2017-12-05,1.788000,1.840000,1.712000,1.840000,1.759845,33900
2017-12-06,1.800000,1.800000,1.696000,1.696000,1.622118,3300
2017-12-07,1.696000,1.812000,1.688000,1.812000,1.733065,5500
2017-12-08,1.728000,1.880000,1.720000,1.880000,1.798102,2900
2017-12-11,1.916000,1.920000,1.880000,1.908000,1.824882,30500
2017-12-12,1.780000,1.840000,1.748000,1.760000,1.683330,3800
2017-12-13,1.888000,1.888000,1.780000,1.856000,1.775148,14500
2017-12-14,1.876000,1.880000,1.868000,1.880000,1.798102,5100
2017-12-15,1.880000,1.880000,1.880000,1.880000,1.798102,1300
2017-12-18,1.872000,1.944000,1.872000,1.880000,1.798102,6900
2017-12-19,1.868000,1.912000,1.848000,1.856000,1.775148,4600
2017-12-20,1.940000,1.952000,1.920000,1.920000,1.836360,4000
2017-12-21,2.000000,2.028000,1.956000,2.024000,1.935829,31400
2017-12-22,2.016000,2.040000,2.016000,2.040000,1.951133,3400
2017-12-26,2.240000,2.244000,2.000000,2.000000,1.912875,1000
2017-12-27,2.048000,2.080000,2.048000,2.080000,1.989389,1400
2017-12-28,2.076000,2.076000,2.012000,2.076000,1.985563,3500
2017-12-29,2.080000,2.116000,1.996000,2.088000,1.997041,7500
2018-01-02,2.052000,2.188000,2.052000,2.156000,2.066037,20300
2018-01-03,2.220000,2.476000,2.200000,2.476000,2.372684,50100
2018-01-04,2.500000,2.512000,2.320000,2.416000,2.315189,6700
2018-01-05,2.432000,2.560000,2.216000,2.560000,2.453179,23100
2018-01-08,2.520000,2.520000,2.212000,2.456000,2.353519,21700
2018-01-09,2.360000,2.456000,2.360000,2.424000,2.322854,3300
2018-01-10,2.452000,2.452000,2.272000,2.348000,2.250026,6200
2018-01-11,2.384000,2.384000,2.380000,2.380000,2.280690,400
2018-01-12,2.440000,2.440000,2.428000,2.428000,2.326687,400
2018-01-16,2.404000,2.404000,2.220000,2.264000,2.169531,7400
2018-01-17,2.432000,2.432000,2.332000,2.392000,2.292190,4300
2018-01-18,2.440000,2.440000,2.440000,2.440000,2.338187,200
2018-01-19,2.364000,2.396000,2.300000,2.300000,2.204028,5000
2018-01-22,2.368000,2.388000,2.300000,2.300000,2.204028,3000
2018-01-23,2.356000,2.400000,2.332000,2.364000,2.265358,4600
2018-01-24,2.452000,2.452000,2.404000,2.444000,2.342019,2300
2018-01-25,2.456000,2.544000,2.452000,2.544000,2.437846,12400
