Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,19.950001,20.299999,19.830000,20.150000,18.326420,130900
2017-09-28,20.150000,20.400000,19.799999,20.350000,18.508316,128600
2017-09-29,20.400000,21.299999,20.299999,20.950001,19.054016,189500
2017-10-02,20.950001,21.950001,20.850000,21.900000,19.918041,98000
2017-10-03,21.950001,22.200001,20.950001,21.799999,19.827091,246100
2017-10-04,21.750000,22.450001,21.750000,22.000000,20.008993,80100
2017-10-05,22.100000,22.350000,21.950001,22.049999,20.054470,83800
2017-10-06,21.950001,22.150000,21.900000,22.100000,20.099941,65900
2017-10-09,22.200001,22.400000,21.850000,22.100000,20.099941,75200
2017-10-10,22.049999,22.250000,21.950001,22.049999,20.054470,57300
2017-10-11,22.150000,22.299999,22.049999,22.150000,20.145418,60100
2017-10-12,22.100000,22.200001,21.870001,21.950001,19.963516,95200
2017-10-13,22.150000,22.450001,22.100000,22.299999,20.281841,78800
2017-10-16,22.400000,22.600000,21.950001,22.100000,20.099941,100300
2017-10-17,22.150000,22.450001,22.049999,22.100000,20.099941,58700
2017-10-18,22.150000,22.650000,22.100000,22.400000,20.372789,54800
2017-10-19,22.350000,22.450001,22.049999,22.150000,20.145418,82300
2017-10-20,22.350000,22.549999,22.100000,22.299999,20.281841,70000
2017-10-23,22.250000,22.250000,21.750000,21.900000,19.918041,93100
2017-10-24,22.000000,22.350000,21.950001,21.950001,19.963516,93800
2017-10-25,21.950001,22.000000,21.700001,21.850000,19.872570,71600
2017-10-26,21.900000,22.200001,21.799999,22.000000,20.008993,81500
2017-10-27,22.000000,22.049999,21.629999,21.799999,19.827091,93300
2017-10-30,21.750000,21.750000,21.049999,21.150000,19.235916,92500
2017-10-31,21.150000,21.850000,21.010000,21.600000,19.645193,173600
2017-11-01,21.799999,21.900000,21.150000,21.350000,19.417820,56000
2017-11-02,21.350000,21.750000,21.299999,21.500000,19.554241,116100
2017-11-03,21.549999,21.700001,21.350000,21.500000,19.554241,47500
2017-11-06,21.500000,21.650000,21.200001,21.450001,19.508768,105600
2017-11-07,20.700001,20.700001,19.500000,20.500000,18.644741,197400
2017-11-08,20.450001,21.299999,20.450001,21.000000,19.099493,83800
2017-11-09,20.900000,21.049999,20.350000,20.950001,19.054016,68700
2017-11-10,20.950001,21.150000,20.750000,20.799999,18.917591,55300
2017-11-13,20.799999,21.000000,20.750000,20.750000,18.872114,49000
2017-11-14,20.600000,20.700001,20.450001,20.549999,18.690216,52400
2017-11-15,20.450001,20.650000,20.250000,20.350000,18.508316,47900
2017-11-16,20.400000,20.950001,20.350000,20.750000,18.872114,49200
2017-11-17,20.650000,20.950001,20.650000,20.700001,18.826645,55300
2017-11-20,20.750000,21.000000,20.730000,20.950001,19.054016,43100
2017-11-21,21.100000,21.850000,21.100000,21.750000,19.781618,116100
2017-11-22,21.750000,21.850000,21.129999,21.200001,19.281391,49500
2017-11-24,21.299999,21.400000,20.900000,21.299999,19.372341,31500
2017-11-27,21.350000,21.450001,20.900000,21.000000,19.099493,58100
2017-11-28,21.049999,21.500000,20.980000,21.450001,19.508768,50600
2017-11-29,21.549999,22.049999,21.500000,21.600000,19.645193,57300
2017-11-30,21.600000,21.750000,21.100000,21.350000,19.539946,69800
2017-12-01,21.450001,21.450001,20.500000,21.100000,19.311138,65300
2017-12-04,21.350000,21.600000,20.900000,21.049999,19.265373,48500
2017-12-05,21.000000,21.250000,20.700001,20.700001,18.945053,60300
2017-12-06,20.750000,20.850000,20.650000,20.700001,18.945053,44600
2017-12-07,20.750000,20.950001,20.049999,20.049999,18.350155,190400
2017-12-08,20.200001,20.350000,19.650000,19.750000,18.075588,72800
2017-12-11,19.700001,19.950001,19.350000,19.450001,17.801025,50600
2017-12-12,19.500000,19.950001,19.450001,19.650000,17.984068,57500
2017-12-13,19.600000,20.150000,19.350000,19.450001,17.801025,89000
2017-12-14,19.400000,19.549999,18.900000,19.000000,17.389175,79200
2017-12-15,19.100000,19.549999,18.900000,18.950001,17.343414,593500
2017-12-18,19.150000,19.610001,19.150000,19.350000,17.709503,117600
2017-12-19,19.350000,19.500000,18.799999,19.000000,17.389175,110500
2017-12-20,19.049999,19.500000,18.799999,19.250000,17.617977,63700
2017-12-21,19.350000,19.900000,19.299999,19.500000,17.846785,74000
2017-12-22,19.500000,19.700001,19.350000,19.400000,17.755260,55100
2017-12-26,19.350000,19.700001,19.350000,19.500000,17.846785,43100
2017-12-27,19.600000,19.700001,19.299999,19.549999,17.892546,40700
2017-12-28,19.600000,19.799999,19.450001,19.750000,18.075588,113500
2017-12-29,19.850000,20.000000,19.480000,19.500000,17.846785,60300
2018-01-02,19.549999,20.100000,19.549999,20.000000,18.304396,146200
2018-01-03,22.100000,22.100000,20.549999,20.600000,18.853529,213900
2018-01-04,20.700001,21.150000,20.700001,20.950001,19.173853,150500
2018-01-05,20.950001,21.150000,20.750000,20.950001,19.173853,151800
2018-01-08,21.000000,21.500000,20.780001,21.250000,19.448420,72600
2018-01-09,21.299999,21.600000,21.150000,21.150000,19.356897,54900
2018-01-10,21.049999,21.350000,20.879999,20.950001,19.173853,52000
2018-01-11,21.049999,21.799999,21.049999,21.750000,19.906031,63600
2018-01-12,21.700001,21.750000,21.200001,21.299999,19.494179,43200
2018-01-16,21.400000,21.600000,20.850000,20.950001,19.173853,77400
2018-01-17,21.000000,21.400000,20.750000,21.350000,19.539946,133700
2018-01-18,21.250000,21.600000,20.700001,21.250000,19.448420,90100
2018-01-19,21.250000,22.000000,21.200001,21.799999,19.951792,47000
2018-01-22,21.799999,21.850000,21.450001,21.500000,19.677223,50700
2018-01-23,21.450001,21.650000,21.350000,21.549999,19.722982,42900
2018-01-24,21.700001,21.750000,21.200001,21.400000,19.585701,51300
2018-01-25,21.549999,21.799999,21.299999,21.700001,19.860266,57200
2018-01-26,21.700001,21.700001,21.350000,21.500000,19.677223,32700
2018-01-29,21.500000,21.750000,21.350000,21.500000,19.677223,40700
2018-01-30,21.250000,21.700001,21.250000,21.400000,19.585701,52100
2018-01-31,21.400000,21.650000,21.000000,21.000000,19.219616,120800
2018-02-01,20.900000,21.250000,20.780001,21.150000,19.356897,64800
2018-02-02,20.950001,20.950001,20.500000,20.700001,18.945053,51900
2018-02-05,20.500000,20.799999,19.650000,19.650000,17.984068,58600
2018-02-06,19.250000,20.049999,19.250000,19.850000,18.167114,133200
2018-02-07,19.750000,20.299999,19.600000,20.200001,18.487442,82800
2018-02-08,20.299999,20.299999,19.400000,19.500000,17.846785,77700
2018-02-09,19.700001,19.850000,19.200001,19.700001,18.029829,61200
2018-02-12,19.700001,19.850000,19.299999,19.750000,18.075588,68500
2018-02-13,19.549999,19.750000,19.299999,19.450001,17.801025,66700
2018-02-14,19.250000,19.750000,19.250000,19.500000,17.846785,63600
2018-02-15,19.600000,19.950001,19.400000,19.900000,18.212872,46400
2018-02-16,19.799999,20.049999,19.650000,19.700001,18.029829,46100
2018-02-20,19.650000,19.850000,19.450001,19.450001,17.801025,82500
2018-02-21,19.549999,19.799999,19.250000,19.299999,17.663740,97300
2018-02-22,19.400000,19.950001,19.400000,19.799999,18.121347,42800
2018-02-23,19.900000,20.000000,19.650000,19.750000,18.075588,39500
2018-02-26,19.950001,20.000000,19.750000,19.900000,18.212872,32400
2018-02-27,19.850000,20.049999,19.250000,19.250000,17.617977,60200
2018-02-28,19.299999,19.520000,18.950001,18.950001,17.343414,182300
2018-03-01,18.850000,19.330000,18.850000,19.000000,17.389175,66700
2018-03-02,18.900000,19.510000,18.900000,19.500000,17.846785,50800
2018-03-05,19.400000,19.900000,19.150000,19.750000,18.075588,67500
2018-03-06,19.750000,20.650000,19.500000,20.600000,18.853529,105500
2018-03-07,20.500000,20.850000,20.500000,20.650000,18.899288,77900
2018-03-08,20.799999,21.400000,20.750000,21.299999,19.494179,50900
2018-03-09,21.400000,21.850000,21.400000,21.549999,19.722982,49700
2018-03-12,21.700001,21.750000,21.450001,21.500000,19.677223,54800
2018-03-13,21.500000,22.000000,21.500000,21.850000,19.997555,57300
2018-03-14,21.900000,22.049999,21.549999,21.700001,19.860266,56000
2018-03-15,21.850000,22.200001,21.799999,21.900000,20.043314,70100
2018-03-16,21.900000,22.250000,21.750000,22.100000,20.226357,225300
2018-03-19,21.950001,22.000000,21.500000,21.850000,20.120462,51700
2018-03-20,21.850000,21.950001,21.650000,21.650000,19.936291,36400
2018-03-21,21.700001,22.100000,21.700001,21.799999,20.074417,36400
2018-03-22,21.650000,21.799999,21.250000,21.250000,19.567951,63200
2018-03-23,21.400000,21.400000,20.400000,20.400000,18.785233,66500
2018-03-26,20.650000,21.150000,20.600000,21.049999,19.383781,57800
2018-03-27,21.049999,21.450001,20.950001,21.150000,19.475868,79100
2018-03-28,21.150000,21.400000,20.950001,21.000000,19.337742,55300
2018-03-29,21.000000,21.330000,20.950001,21.150000,19.475868,67100
2018-04-02,21.100000,21.299999,20.100000,20.250000,18.647108,84600
2018-04-03,20.400000,20.879999,20.000000,20.850000,19.199617,78500
2018-04-04,20.549999,21.200001,20.549999,21.000000,19.337742,45300
2018-04-05,21.250000,23.450001,21.150000,23.350000,21.501728,189000
2018-04-06,23.049999,24.150000,23.049999,23.450001,21.593811,499300
2018-04-09,23.700001,23.700001,22.700001,22.799999,20.995262,99100
2018-04-10,23.000000,23.450001,23.000000,23.049999,21.225471,70600
2018-04-11,22.750000,23.200001,22.549999,23.150000,21.317558,132700
2018-04-12,23.250000,23.700001,23.250000,23.549999,21.685894,84200
2018-04-13,23.700001,23.700001,23.250000,23.350000,21.501728,42200
2018-04-16,23.600000,24.000000,23.500000,23.799999,21.916107,53300
2018-04-17,23.850000,23.950001,23.350000,23.799999,21.916107,90300
2018-04-18,23.900000,24.200001,23.650000,23.750000,21.870068,73800
2018-04-19,23.700001,24.100000,23.650000,23.750000,21.870068,40900
2018-04-20,23.750000,24.250000,23.549999,24.200001,22.284445,42800
2018-04-23,24.200001,24.500000,23.950001,24.150000,22.238405,59900
2018-04-24,24.299999,24.299999,23.900000,24.150000,22.238405,88900
2018-04-25,24.100000,24.549999,24.000000,24.350000,22.422567,39100
2018-04-26,24.350000,24.600000,23.750000,23.900000,22.008192,70300
2018-04-27,23.900000,24.150000,23.500000,23.600000,21.731937,35800
