Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,115.190002,116.720001,114.709999,116.650002,116.650002,1045200
2017-09-29,116.809998,117.790001,116.199997,117.529999,117.529999,1145700
2017-10-02,117.650002,118.459999,116.220001,116.800003,116.800003,1511700
2017-10-03,116.800003,118.290001,116.449997,117.830002,117.830002,726800
2017-10-04,118.150002,118.260002,116.629997,118.059998,118.059998,660200
2017-10-05,118.309998,119.470001,117.099998,119.379997,119.379997,951900
2017-10-06,118.730003,121.760002,118.550003,121.750000,121.750000,1285600
2017-10-09,122.000000,122.449997,120.860001,121.330002,121.330002,1131700
2017-10-10,121.879997,122.029999,120.139999,120.959999,120.959999,788100
2017-10-11,120.860001,121.070000,119.269997,120.680000,120.680000,812200
2017-10-12,120.419998,122.419998,120.419998,121.970001,121.970001,1441000
2017-10-13,122.879997,123.129997,121.709999,122.290001,122.290001,826500
2017-10-16,122.250000,122.669998,121.360001,121.400002,121.400002,834800
2017-10-17,121.540001,122.800003,121.000000,122.750000,122.750000,1084200
2017-10-18,123.209999,123.580002,120.669998,120.769997,120.769997,1134000
2017-10-19,120.480003,120.870003,118.959999,120.809998,120.809998,1066400
2017-10-20,121.400002,124.870003,120.849998,124.820000,124.820000,1793000
2017-10-23,128.990005,129.559998,123.400002,123.989998,123.989998,1846800
2017-10-24,124.489998,126.279999,123.269997,125.889999,125.889999,2054200
2017-10-25,126.720001,127.750000,124.279999,124.620003,124.620003,3199900
2017-10-26,119.980003,127.339996,118.500000,126.139999,126.139999,4291700
2017-10-27,126.000000,126.779999,122.910004,125.730003,125.730003,2629300
2017-10-30,125.279999,125.849998,123.940002,125.050003,125.050003,1132000
2017-10-31,125.110001,126.800003,124.769997,126.370003,126.370003,1457500
2017-11-01,127.199997,127.500000,123.199997,124.510002,124.510002,1137500
2017-11-02,123.919998,125.000000,122.660004,124.339996,124.339996,864900
2017-11-03,124.250000,125.449997,123.150002,124.910004,124.910004,1151000
2017-11-06,125.500000,125.989998,124.430000,124.730003,124.730003,777400
2017-11-07,125.000000,125.839996,123.739998,125.529999,125.529999,1031100
2017-11-08,124.419998,127.949997,124.300003,127.620003,127.620003,1639200
2017-11-09,127.400002,127.400002,124.099998,125.550003,125.550003,909200
2017-11-10,125.150002,126.300003,125.050003,125.980003,125.980003,958500
2017-11-13,124.599998,125.230003,123.440002,125.029999,125.029999,893800
2017-11-14,124.860001,125.199997,123.730003,124.480003,124.480003,954200
2017-11-15,123.459999,124.900002,122.010002,123.320000,123.320000,622200
2017-11-16,123.570000,126.370003,123.510002,125.720001,125.720001,1150400
2017-11-17,125.839996,127.629997,125.410004,127.540001,127.540001,1124400
2017-11-20,127.529999,129.479996,127.480003,127.669998,127.669998,999100
2017-11-21,128.179993,130.050003,127.830002,128.070007,128.070007,1756300
2017-11-22,127.919998,128.869995,127.290001,127.449997,127.449997,530200
2017-11-24,128.080002,128.800003,128.000000,128.300003,128.300003,506200
