Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,5.860000,5.910000,5.790000,5.880000,5.880000,405300
2017-09-29,5.840000,5.910000,5.440000,5.560000,5.560000,1622200
2017-10-02,5.570000,5.930000,5.540000,5.890000,5.890000,1234600
2017-10-03,5.920000,5.950000,5.780000,5.890000,5.890000,615600
2017-10-04,5.890000,5.940000,5.710000,5.860000,5.860000,525000
2017-10-05,5.470000,5.700000,4.930000,4.970000,4.970000,5907000
2017-10-06,4.980000,5.330000,4.720000,4.960000,4.960000,2536000
2017-10-09,4.950000,5.100000,4.800000,4.990000,4.990000,1380200
2017-10-10,5.030000,5.050000,4.820000,4.850000,4.850000,1000900
2017-10-11,4.840000,4.880000,4.790000,4.810000,4.810000,781300
2017-10-12,4.700000,4.790000,4.610000,4.690000,4.690000,1120400
2017-10-13,4.630000,4.780000,4.620000,4.730000,4.730000,878000
2017-10-16,4.710000,4.830000,4.690000,4.750000,4.750000,784000
2017-10-17,4.750000,4.890000,4.740000,4.750000,4.750000,809200
2017-10-18,4.780000,4.890000,4.780000,4.850000,4.850000,722800
2017-10-19,4.830000,5.300000,4.790000,5.130000,5.130000,2059000
2017-10-20,5.180000,5.560000,5.180000,5.460000,5.460000,2332300
2017-10-23,5.450000,5.730000,5.400000,5.660000,5.660000,1955500
2017-10-24,5.650000,6.270000,5.650000,6.250000,6.250000,2583100
2017-10-25,6.340000,6.700000,6.110000,6.500000,6.500000,2561400
2017-10-26,6.600000,6.690000,5.500000,5.620000,5.620000,2753300
2017-10-27,5.790000,6.080000,5.250000,5.270000,5.270000,1863400
2017-10-30,5.180000,5.410000,5.060000,5.240000,5.240000,1607600
2017-10-31,5.250000,5.340000,5.120000,5.210000,5.210000,1103100
2017-11-01,5.250000,5.360000,5.070000,5.220000,5.220000,1430600
2017-11-02,5.200000,5.200000,4.710000,4.980000,4.980000,3075900
2017-11-03,4.960000,4.980000,4.560000,4.580000,4.580000,1777800
2017-11-06,4.640000,4.860000,4.560000,4.750000,4.750000,1959500
2017-11-07,5.280000,5.930000,5.100000,5.920000,5.920000,3249300
2017-11-08,5.800000,6.660000,5.770000,6.530000,6.530000,2610400
2017-11-09,6.430000,6.480000,5.950000,6.160000,6.160000,1845000
2017-11-10,6.160000,6.400000,6.010000,6.290000,6.290000,1450500
2017-11-13,6.290000,6.490000,6.070000,6.410000,6.410000,1092100
2017-11-14,6.410000,6.410000,5.760000,6.120000,6.120000,1731200
2017-11-15,6.010000,6.620000,5.770000,6.320000,6.320000,1489800
2017-11-16,6.340000,6.690000,6.330000,6.580000,6.580000,1738200
2017-11-17,6.600000,7.010000,6.510000,6.980000,6.980000,1124600
2017-11-20,7.030000,7.400000,7.000000,7.320000,7.320000,1975500
2017-11-21,7.330000,7.520000,7.230000,7.500000,7.500000,1674900
2017-11-22,7.500000,7.680000,7.180000,7.270000,7.270000,1488900
2017-11-24,7.300000,7.420000,7.070000,7.350000,7.350000,736000
2017-11-27,7.290000,7.330000,6.850000,6.900000,6.900000,1139600
2017-11-28,6.910000,7.070000,6.850000,7.000000,7.000000,873000
2017-11-29,7.030000,7.230000,6.640000,6.880000,6.880000,1016400
2017-11-30,6.960000,7.140000,6.840000,7.100000,7.100000,1281700
2017-12-01,7.110000,7.110000,6.460000,6.560000,6.560000,1576900
2017-12-04,6.640000,6.720000,6.200000,6.220000,6.220000,1131600
