Date,Open,High,Low,Close,Adj Close,Volume
2017-09-21,3.100000,3.100000,3.100000,3.100000,3.100000,700
2017-09-22,3.100000,3.100000,3.100000,3.100000,3.100000,900
2017-09-25,3.100000,3.100000,3.100000,3.100000,3.100000,1100
2017-09-26,3.100000,3.100000,3.100000,3.100000,3.100000,850
2017-09-27,3.100000,3.100000,3.100000,3.100000,3.100000,2000
2017-09-28,3.100000,3.100000,3.100000,3.100000,3.100000,1260
2017-09-29,3.100000,3.100000,3.100000,3.100000,3.100000,520
2017-10-02,3.100000,3.100000,3.100000,3.100000,3.100000,1050
2017-10-03,3.100000,3.100000,3.100000,3.100000,3.100000,1050
2017-10-04,3.100000,3.100000,3.100000,3.100000,3.100000,550
2017-10-05,3.100000,3.100000,3.100000,3.100000,3.100000,400
2017-10-06,3.100000,3.100000,3.100000,3.100000,3.100000,100
2017-10-09,3.100000,3.100000,3.100000,3.100000,3.100000,1025
2017-10-10,3.100000,3.100000,3.100000,3.100000,3.100000,1050
2017-10-11,3.100000,3.100000,3.100000,3.100000,3.100000,1570
2017-10-12,3.100000,3.100000,3.100000,3.100000,3.100000,963
2017-10-13,3.100000,3.100000,3.100000,3.100000,3.100000,400
2017-10-16,3.100000,3.100000,3.100000,3.100000,3.100000,370
2017-10-17,3.120000,3.120000,3.070000,3.100000,3.100000,1835
2017-10-18,3.100000,3.120000,3.100000,3.120000,3.120000,1050
2017-10-19,3.120000,3.200000,3.120000,3.200000,3.200000,1810
2017-10-20,3.200000,3.200000,3.200000,3.200000,3.200000,2400
2017-10-23,3.200000,3.200000,3.200000,3.200000,3.200000,1415
2017-10-24,3.200000,3.250000,3.200000,3.250000,3.250000,1450
2017-10-25,3.200000,3.200000,3.200000,3.200000,3.200000,860
2017-10-26,3.200000,3.200000,3.200000,3.200000,3.200000,1975
2017-10-27,3.100000,3.250000,3.000000,3.250000,3.250000,2030
2017-10-30,3.250000,3.250000,3.250000,3.250000,3.250000,350
2017-10-31,3.300000,3.300000,3.300000,3.300000,3.300000,440
2017-11-01,3.325000,3.350000,3.300000,3.350000,3.350000,950
2017-11-02,3.350000,3.400000,3.350000,3.350000,3.350000,918
2017-11-03,3.350000,3.350000,3.350000,3.350000,3.350000,0
2017-11-06,3.350000,4.000000,3.350000,4.000000,4.000000,2270
2017-11-07,4.500000,4.500000,4.000000,4.000000,4.000000,2100
2017-11-08,3.908000,4.000000,3.908000,4.000000,4.000000,1100
2017-11-09,3.750000,3.750000,3.750000,3.750000,3.750000,100
2017-11-10,3.900000,3.900000,3.650000,3.875000,3.875000,800
2017-11-13,3.875000,3.875000,3.875000,3.875000,3.875000,0
2017-11-14,3.850000,3.850000,3.850000,3.850000,3.850000,300
2017-11-15,3.850000,3.900000,3.850000,3.850000,3.850000,801
2017-11-16,3.650000,3.650000,3.650000,3.650000,3.650000,300
2017-11-17,3.650000,3.650000,3.650000,3.650000,3.650000,0
2017-11-20,3.850000,4.000000,3.850000,4.000000,4.000000,200
2017-11-21,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-11-22,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-11-24,4.000000,4.000000,4.000000,4.000000,4.000000,100
2017-11-27,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-11-28,4.000000,4.000000,4.000000,4.000000,4.000000,200
2017-11-29,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-11-30,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-01,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-04,3.999900,4.000000,3.999900,4.000000,4.000000,599
2017-12-05,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-06,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-07,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-08,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-11,4.000000,4.250000,4.000000,4.250000,4.250000,1325
2017-12-12,4.500000,4.500000,4.500000,4.500000,4.500000,150
2017-12-13,4.500000,4.500000,4.500000,4.500000,4.500000,610
2017-12-14,4.500000,4.500000,4.500000,4.500000,4.500000,725
2017-12-15,4.519500,4.519500,4.519500,4.519500,4.519500,210
2017-12-18,4.600000,4.600000,4.600000,4.600000,4.600000,100
2017-12-19,4.600000,4.600000,4.600000,4.600000,4.600000,0
2017-12-20,4.600000,4.600000,4.558000,4.558000,4.558000,880
2017-12-21,4.558000,4.558000,4.558000,4.558000,4.558000,0
2017-12-22,4.250000,4.250000,4.000000,4.000000,4.000000,800
2017-12-26,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-27,4.000000,4.000000,4.000000,4.000000,4.000000,0
2017-12-28,3.900000,4.400000,3.900000,4.400000,4.400000,200
2017-12-29,4.400000,4.550000,4.400000,4.550000,4.550000,300
2018-01-02,4.842500,4.842500,4.842500,4.842500,4.842500,100
2018-01-03,4.842500,4.842500,4.842500,4.842500,4.842500,0
2018-01-04,4.842500,4.842500,4.842500,4.842500,4.842500,0
2018-01-05,4.842500,4.842500,4.842500,4.842500,4.842500,0
2018-01-08,4.842500,4.842500,4.842500,4.842500,4.842500,0
2018-01-09,4.842500,4.842500,4.842500,4.842500,4.842500,0
2018-01-10,4.700000,4.700000,4.700000,4.700000,4.700000,135
2018-01-11,4.700000,4.700000,4.700000,4.700000,4.700000,0
2018-01-12,4.700000,4.700000,4.700000,4.700000,4.700000,0
2018-01-16,4.700000,4.700000,4.700000,4.700000,4.700000,0
2018-01-17,4.700000,4.700000,4.700000,4.700000,4.700000,0
2018-01-18,4.700000,4.700000,4.700000,4.700000,4.700000,0
2018-01-19,4.700000,4.700000,4.700000,4.700000,4.700000,0
2018-01-22,4.250000,4.250000,4.250000,4.250000,4.250000,365
2018-01-23,4.250000,4.250000,4.250000,4.250000,4.250000,100
2018-01-24,4.250000,4.500000,4.250000,4.500000,4.500000,200
2018-01-25,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-01-26,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-01-29,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-01-30,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-01-31,4.500000,4.500000,4.500000,4.500000,4.500000,100
2018-02-01,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-02-02,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-02-05,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-02-06,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-02-07,4.450000,4.650000,4.450000,4.519000,4.519000,400
2018-02-08,4.681000,4.681000,4.681000,4.681000,4.681000,150
2018-02-09,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-12,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-13,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-14,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-15,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-16,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-20,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-21,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-22,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-23,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-26,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-27,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-02-28,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-03-01,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-03-02,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-03-05,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-03-06,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-03-07,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-03-08,4.681000,4.681000,4.681000,4.681000,4.681000,0
2018-03-09,4.450000,4.490000,2.500000,4.490000,4.490000,1255
2018-03-12,4.300000,4.300000,4.300000,4.300000,4.300000,300
2018-03-13,4.500000,4.500000,4.500000,4.500000,4.500000,100
2018-03-14,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-03-15,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-03-16,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-03-19,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-03-20,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-03-21,4.500000,4.500000,4.500000,4.500000,4.500000,0
2018-03-22,4.500000,4.500000,4.500000,4.500000,4.500000,0
