Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,4.741323,4.846104,4.682384,4.741323,4.741323,2735900
2017-09-29,4.747872,4.833006,4.715127,4.774067,4.774067,1790100
2017-10-02,4.728225,4.806811,4.662737,4.806811,4.806811,2846600
2017-10-03,4.833006,4.833006,4.728225,4.741323,4.741323,2089100
2017-10-04,4.780616,4.780616,4.656188,4.682384,4.682384,2644500
2017-10-05,4.682384,4.800262,4.662737,4.702030,4.702030,2799300
2017-10-06,4.662737,4.715127,4.590701,4.649640,4.649640,2898200
2017-10-09,4.715127,4.721676,4.518664,4.551408,4.551408,3659000
2017-10-10,4.538311,4.544859,4.433530,4.518664,4.518664,3111300
2017-10-11,4.518664,4.557957,4.453176,4.492469,4.492469,1969400
2017-10-12,4.492469,4.662737,4.466274,4.551408,4.551408,2157500
2017-10-13,4.649640,4.669286,4.538311,4.557957,4.557957,3209100
2017-10-16,4.584152,4.629993,4.394237,4.413883,4.413883,4320300
2017-10-17,4.394237,4.440079,4.328749,4.433530,4.433530,3456200
2017-10-18,4.472823,4.485920,4.335298,4.354944,4.354944,2913200
2017-10-19,4.328749,4.381139,4.269810,4.381139,4.381139,3230700
2017-10-20,4.394237,4.394237,4.296005,4.374591,4.374591,2707100
2017-10-23,4.394237,4.616896,4.387688,4.499018,4.499018,4563300
2017-10-24,4.499018,4.682384,4.499018,4.531762,4.531762,3705300
2017-10-25,4.564506,4.577603,4.374591,4.413883,4.413883,2807100
2017-10-26,4.433530,4.446627,4.335298,4.374591,4.374591,2827700
2017-10-27,4.485920,4.708579,4.466274,4.603798,4.603798,7631300
2017-10-30,4.656188,4.898494,4.505567,4.688932,4.688932,7715300
2017-10-31,4.702030,4.813360,4.584152,4.662737,4.662737,5424500
2017-11-01,4.754420,4.780616,4.590701,4.669286,4.669286,4660900
2017-11-02,5.075311,5.605763,5.055665,5.402750,5.402750,16768900
2017-11-03,5.311068,5.664702,5.304519,5.658153,5.658153,9077300
