Date,Open,High,Low,Close,Adj Close,Volume
2017-09-21,1.750000,1.800000,1.700000,1.800000,1.800000,249400
2017-09-22,1.800000,1.800000,1.750000,1.800000,1.800000,356000
2017-09-25,1.800000,1.830000,1.750000,1.750000,1.750000,227100
2017-09-26,1.800000,1.850000,1.690000,1.700000,1.700000,456500
2017-09-27,1.700000,1.800000,1.700000,1.750000,1.750000,270300
2017-09-28,1.750000,1.800000,1.700000,1.700000,1.700000,487400
2017-09-29,1.700000,1.750000,1.670000,1.700000,1.700000,199700
2017-10-02,1.750000,1.800000,1.700000,1.750000,1.750000,568400
2017-10-03,1.800000,1.850000,1.750000,1.750000,1.750000,727800
2017-10-04,1.800000,1.840000,1.750000,1.780000,1.780000,405400
2017-10-05,1.800000,1.800000,1.700000,1.800000,1.800000,722600
2017-10-06,1.800000,1.850000,1.750000,1.800000,1.800000,1177600
2017-10-09,1.850000,2.250000,1.810000,2.100000,2.100000,3200500
2017-10-10,2.100000,2.850000,2.100000,2.500000,2.500000,8413600
2017-10-11,2.600000,3.850000,2.500000,3.700000,3.700000,14266200
2017-10-12,3.800000,3.800000,3.000000,3.200000,3.200000,4774500
2017-10-13,3.100000,3.350000,2.750000,3.300000,3.300000,2594200
2017-10-16,3.450000,3.450000,2.900000,2.980000,2.980000,1846500
2017-10-17,3.000000,3.000000,2.700000,2.850000,2.850000,851200
2017-10-18,2.800000,2.950000,2.550000,2.600000,2.600000,1505300
2017-10-19,2.600000,2.700000,2.420000,2.500000,2.500000,1428500
2017-10-20,2.500000,2.850000,2.450000,2.800000,2.800000,1287100
2017-10-23,2.750000,2.800000,2.600000,2.600000,2.600000,641300
2017-10-24,2.650000,2.800000,2.500000,2.600000,2.600000,970200
2017-10-25,2.550000,2.700000,2.450000,2.500000,2.500000,844400
2017-10-26,2.550000,2.630000,2.450000,2.500000,2.500000,1068300
2017-10-27,2.450000,2.530000,2.450000,2.480000,2.480000,686500
2017-10-30,2.500000,2.700000,2.460000,2.600000,2.600000,676600
2017-10-31,2.600000,2.750000,2.510000,2.650000,2.650000,894900
2017-11-01,2.700000,2.750000,2.550000,2.580000,2.580000,592100
2017-11-02,2.600000,2.680000,2.500000,2.530000,2.530000,805400
2017-11-03,2.550000,2.600000,2.500000,2.600000,2.600000,426200
2017-11-06,2.600000,2.990000,2.600000,2.900000,2.900000,1257700
2017-11-07,2.900000,2.900000,2.650000,2.650000,2.650000,427100
2017-11-08,2.650000,2.700000,2.600000,2.600000,2.600000,325300
2017-11-09,2.500000,2.640000,2.450000,2.600000,2.600000,994000
2017-11-10,2.600000,2.700000,2.500000,2.600000,2.600000,645300
2017-11-13,2.550000,2.590000,2.480000,2.500000,2.500000,450500
2017-11-14,2.550000,2.550000,2.150000,2.300000,2.300000,1365100
2017-11-15,2.300000,2.300000,2.150000,2.250000,2.250000,693900
2017-11-16,2.300000,2.550000,2.250000,2.400000,2.400000,925000
2017-11-17,2.450000,2.550000,2.400000,2.450000,2.450000,497600
2017-11-20,2.450000,2.500000,2.360000,2.400000,2.400000,901900
2017-11-21,2.450000,2.450000,2.250000,2.350000,2.350000,850500
2017-11-22,2.350000,2.350000,2.200000,2.250000,2.250000,483900
2017-11-24,2.250000,2.300000,2.150000,2.300000,2.300000,682600
2017-11-27,2.300000,2.350000,2.200000,2.250000,2.250000,1335300
2017-11-28,2.200000,2.340000,2.200000,2.250000,2.250000,1806800
2017-11-29,2.300000,2.300000,2.150000,2.200000,2.200000,845700
2017-11-30,2.200000,2.300000,2.200000,2.250000,2.250000,569700
2017-12-01,2.250000,2.300000,2.200000,2.300000,2.300000,365700
2017-12-04,2.300000,2.400000,2.300000,2.350000,2.350000,774900
2017-12-05,2.350000,2.400000,2.300000,2.330000,2.330000,901700
2017-12-06,2.350000,2.350000,2.200000,2.200000,2.200000,878100
2017-12-07,2.200000,2.330000,2.150000,2.250000,2.250000,864500
2017-12-08,2.200000,2.300000,2.160000,2.250000,2.250000,369000
2017-12-11,2.300000,2.450000,2.200000,2.400000,2.400000,764000
2017-12-12,2.450000,2.550000,2.350000,2.350000,2.350000,1089400
2017-12-13,2.400000,2.500000,2.300000,2.500000,2.500000,1140600
2017-12-14,2.500000,2.500000,2.350000,2.450000,2.450000,528300
2017-12-15,2.450000,3.100000,2.350000,2.950000,2.950000,2609500
2017-12-18,3.000000,3.600000,3.000000,3.350000,3.350000,5658200
2017-12-19,3.400000,3.800000,3.250000,3.700000,3.700000,4123000
2017-12-20,3.700000,3.850000,3.300000,3.380000,3.380000,2642100
2017-12-21,3.350000,3.500000,3.000000,3.150000,3.150000,1898600
2017-12-22,3.150000,3.550000,3.110000,3.550000,3.550000,1130400
2017-12-26,3.600000,3.700000,3.400000,3.450000,3.450000,1059500
2017-12-27,3.500000,3.550000,3.150000,3.180000,3.180000,2081200
2017-12-28,3.250000,3.700000,3.200000,3.650000,3.650000,1516900
2017-12-29,3.700000,4.050000,3.650000,3.800000,3.800000,2035100
2018-01-02,4.100000,4.700000,3.900000,4.650000,4.650000,3692600
2018-01-03,4.900000,5.250000,4.700000,5.050000,5.050000,4475600
2018-01-04,5.100000,5.200000,4.750000,5.200000,5.200000,2965800
2018-01-05,5.250000,5.500000,4.910000,5.100000,5.100000,3709500
2018-01-08,5.100000,5.290000,4.300000,4.500000,4.500000,3046100
2018-01-09,4.550000,5.000000,4.200000,4.900000,4.900000,1604100
2018-01-10,4.800000,4.850000,4.540000,4.680000,4.680000,1072000
2018-01-11,4.750000,5.100000,4.650000,5.000000,5.000000,1321800
2018-01-12,4.950000,5.350000,4.800000,4.950000,4.950000,1188600
