Date,Open,High,Low,Close,Adj Close,Volume
2018-05-03,3.134000,3.134000,3.134000,3.134000,3.134000,5000
2018-05-04,3.180000,3.183000,3.022000,3.085000,3.085000,70100
2018-05-07,3.079000,3.079000,2.918000,2.999000,2.999000,77400
2018-05-08,2.915000,2.960000,2.832000,2.860000,2.860000,62600
2018-05-09,2.878000,2.894000,2.784000,2.890000,2.890000,99800
2018-05-10,2.894000,2.978000,2.855000,2.870000,2.870000,85200
2018-05-11,2.876000,2.900000,2.841000,2.880000,2.880000,59000
2018-05-14,2.872000,3.525000,2.850000,2.996000,2.996000,311600
2018-05-15,3.034000,3.090000,2.966000,3.000000,3.000000,156700
2018-05-16,3.008000,3.075000,2.943000,2.949000,2.949000,117000
2018-05-17,3.775000,3.775000,2.893000,2.949000,2.949000,120200
2018-05-18,2.921000,3.050000,2.868000,2.975000,2.975000,122200
2018-05-21,3.090000,3.300000,2.980000,3.270000,3.270000,280600
2018-05-22,3.117000,3.280000,3.048000,3.086000,3.086000,322000
2018-05-23,3.077000,3.150000,3.040000,3.100000,3.100000,64000
2018-05-24,3.097000,3.400000,3.094000,3.139000,3.139000,171500
2018-05-25,3.134000,4.050000,3.105000,3.180000,3.180000,89700
2018-05-29,3.177000,4.035000,3.173000,3.564000,3.564000,320200
2018-05-30,3.620000,4.250000,3.600000,4.235000,4.235000,646300
2018-05-31,4.285000,4.725000,3.894000,4.400000,4.400000,376500
2018-06-01,4.202000,5.120000,4.161000,4.948000,4.948000,802100
2018-06-04,5.036000,5.600000,4.986000,5.420000,5.420000,992800
2018-06-05,5.292000,5.946000,4.939000,5.891000,5.891000,923700
2018-06-06,6.054000,6.550000,5.949000,6.076000,6.076000,963400
2018-06-07,6.500000,6.500000,5.650000,5.930000,5.930000,665600
2018-06-08,5.784000,7.565000,5.495000,5.918000,5.918000,337000
2018-06-11,5.978000,6.120000,5.612000,5.770000,5.770000,341500
2018-06-12,5.703000,5.820000,5.137000,5.206000,5.206000,498600
2018-06-13,5.029000,5.100000,4.700000,4.719000,4.719000,570800
2018-06-14,4.574000,5.200000,4.550000,4.890000,4.890000,442400
2018-06-15,4.920000,5.250000,4.747000,5.164000,5.164000,242600
2018-06-18,5.200000,5.454000,4.990000,5.387000,5.387000,245700
2018-06-19,5.355000,5.590000,5.200000,5.234000,5.234000,139400
2018-06-20,5.460000,5.460000,5.231000,5.290000,5.290000,216600
2018-06-21,5.300000,5.310000,5.170000,5.280000,5.280000,280900
2018-06-22,5.297000,5.474000,5.192000,5.217000,5.217000,184200
2018-06-25,5.199000,5.350000,5.100000,5.128000,5.128000,176200
2018-06-26,5.122000,5.260000,4.881000,4.930000,4.930000,228800
2018-06-27,4.916000,5.100000,4.500000,4.500000,4.500000,291100
2018-06-28,4.630000,4.850000,4.475000,4.835000,4.835000,237700
2018-06-29,4.900000,5.010000,4.762000,4.960000,4.960000,161700
2018-07-02,5.190000,5.222000,4.750000,4.770000,4.770000,389200
