Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,8.110000,11.290000,8.070000,10.920000,10.920000,21973500
2019-03-21,10.850000,11.270000,10.120000,10.450000,10.450000,7800800
2019-03-22,10.240000,11.370000,10.110000,10.820000,10.820000,4108200
2019-03-25,10.600000,11.880000,10.400000,11.300000,11.300000,3990900
2019-03-26,11.380000,12.680000,11.380000,12.050000,12.050000,5739600
2019-03-27,12.320000,13.085000,12.080000,12.870000,12.870000,3482000
2019-03-28,13.060000,13.410000,12.120000,12.260000,12.260000,2085300
2019-03-29,12.500000,13.130000,12.210000,12.940000,12.940000,4340100
2019-04-01,13.340000,14.200000,12.800000,14.000000,14.000000,5325500
2019-04-02,13.850000,15.340000,13.700000,14.920000,14.920000,2332900
2019-04-03,15.020000,16.600000,14.560000,15.340000,15.340000,3727900
2019-04-04,15.530000,15.930000,14.950000,15.390000,15.390000,3734800
2019-04-05,15.310000,15.690000,14.820000,15.300000,15.300000,1617100
2019-04-08,15.150000,15.270000,14.600000,14.890000,14.890000,1261100
2019-04-09,14.700000,15.160000,14.250000,14.750000,14.750000,1975900
2019-04-10,14.710000,15.610000,14.670000,15.210000,15.210000,3277000
2019-04-11,15.200000,17.090000,15.200000,17.000000,17.000000,2081900
2019-04-12,17.129999,17.799999,17.049999,17.610001,17.610001,1791800
2019-04-15,17.440001,19.379999,17.100000,19.209999,19.209999,2710500
2019-04-16,19.490000,23.889999,19.073000,22.000000,22.000000,6889300
2019-04-17,22.500000,22.698000,15.550000,15.930000,15.930000,7531900
2019-04-18,16.490000,16.959999,15.351000,15.520000,15.520000,4988500
2019-04-22,15.400000,16.280001,14.250000,14.500000,14.500000,4634100
2019-04-23,14.560000,15.480000,14.490000,15.410000,15.410000,1129300
2019-04-24,15.380000,15.380000,14.800000,14.930000,14.930000,424800
2019-04-25,14.780000,14.900000,14.400000,14.630000,14.630000,816500
2019-04-26,14.530000,17.450001,14.390000,16.760000,16.760000,6530900
2019-04-29,17.000000,17.420000,15.370000,15.620000,15.620000,4422200
2019-04-30,15.560000,15.670000,13.580000,13.640000,13.640000,5823600
2019-05-01,13.750000,14.319000,13.410000,13.500000,13.500000,1016800
2019-05-02,13.660000,13.940000,12.950000,13.160000,13.160000,831500
2019-05-03,13.320000,13.630000,12.560000,13.260000,13.260000,1124700
2019-05-06,12.290000,12.950000,12.202000,12.610000,12.610000,2903800
2019-05-07,12.600000,12.940000,10.700000,10.920000,10.920000,6492100
2019-05-08,11.200000,11.380000,10.550000,10.730000,10.730000,3211200
2019-05-09,10.350000,10.560000,8.980000,9.010000,9.010000,5015300
2019-05-10,9.450000,9.450000,7.520000,8.290000,8.290000,5236200
2019-05-13,7.950000,8.490000,7.770000,7.790000,7.790000,4242000
2019-05-14,8.010000,8.150000,7.440000,7.700000,7.700000,4444000
2019-05-15,7.720000,8.500000,7.480000,8.250000,8.250000,5910800
2019-05-16,8.420000,8.450000,6.910000,6.980000,6.980000,8181400
2019-05-17,6.570000,6.950000,5.510000,5.770000,5.770000,10111600
2019-05-20,5.600000,6.080000,5.380000,5.630000,5.630000,2517000
2019-05-21,5.990000,6.330000,5.810000,6.250000,6.250000,3473700
2019-05-22,6.240000,6.240000,5.700000,5.760000,5.760000,1790800
2019-05-23,5.590000,5.763000,5.380000,5.400000,5.400000,1520100
2019-05-24,5.600000,5.630000,5.190000,5.290000,5.290000,1182000
2019-05-28,5.350000,5.530000,5.080000,5.360000,5.360000,1700300
2019-05-29,5.250000,5.340000,5.050000,5.190000,5.190000,962300
2019-05-30,5.160000,5.340000,5.080000,5.150000,5.150000,1193200
2019-05-31,5.050000,5.090000,4.720000,4.720000,4.720000,1299700
2019-06-03,4.700000,4.700000,4.140000,4.490000,4.490000,1905800
2019-06-04,4.650000,4.890000,4.550000,4.860000,4.860000,1272300
2019-06-05,4.920000,4.943000,4.390000,4.450000,4.450000,1087900
2019-06-06,4.440000,4.500000,4.193000,4.260000,4.260000,679200
2019-06-07,4.230000,4.466000,4.168000,4.320000,4.320000,623300
2019-06-10,4.400000,4.470000,4.300000,4.370000,4.370000,511200
2019-06-11,4.490000,4.870000,4.460000,4.610000,4.610000,1818600
2019-06-12,4.600000,4.600000,4.301000,4.410000,4.410000,676000
2019-06-13,4.460000,4.650000,4.300000,4.300000,4.300000,867500
2019-06-14,4.300000,4.311000,4.090000,4.110000,4.110000,672700
2019-06-17,4.190000,5.600000,4.140000,5.540000,5.540000,5521600
2019-06-18,5.700000,5.950000,5.210000,5.290000,5.290000,4271100
2019-06-19,5.430000,5.690000,4.880000,5.340000,5.340000,2728400
2019-06-20,5.500000,6.080000,5.150000,5.320000,5.320000,6204800
2019-06-21,5.340000,5.410000,5.081000,5.140000,5.140000,1034400
2019-06-24,5.120000,5.155000,4.840000,4.910000,4.910000,1529000
2019-06-25,4.910000,5.060000,4.880000,4.950000,4.950000,925200
2019-06-26,5.030000,5.290000,4.990000,5.080000,5.080000,744700
2019-06-27,5.180000,5.350000,5.150000,5.250000,5.250000,1015600
2019-06-28,5.300000,5.629000,5.290000,5.570000,5.570000,1495100
2019-07-01,5.810000,5.970000,5.450000,5.460000,5.460000,3056800
2019-07-02,5.900000,5.970000,5.200000,5.220000,5.220000,4803000
2019-07-03,5.230000,5.269000,5.000000,5.180000,5.180000,946600
2019-07-05,5.200000,5.200000,5.010000,5.030000,5.030000,872800
2019-07-08,4.950000,5.197000,4.820000,5.030000,5.030000,992000
2019-07-09,4.900000,5.440000,4.900000,5.410000,5.410000,1420800
2019-07-10,5.500000,5.530000,5.235000,5.250000,5.250000,1067100
2019-07-11,5.200000,5.270000,4.900000,4.900000,4.900000,1236400
2019-07-12,5.000000,5.120000,4.947000,5.020000,5.020000,690600
2019-07-15,5.000000,5.120000,4.920000,4.950000,4.950000,478600
2019-07-16,4.960000,5.050000,4.820000,4.860000,4.860000,580400
2019-07-17,4.900000,4.900000,4.610000,4.670000,4.670000,1027100
2019-07-18,4.720000,4.720000,4.550000,4.620000,4.620000,534900
2019-07-19,4.750000,4.750000,4.560000,4.680000,4.680000,370100
2019-07-22,4.710000,4.710000,4.250000,4.310000,4.310000,1836000
2019-07-23,4.410000,4.440000,4.260000,4.380000,4.380000,714500
2019-07-24,4.420000,4.420000,4.290000,4.370000,4.370000,412800
2019-07-25,4.380000,4.399000,4.180000,4.270000,4.270000,573700
2019-07-26,4.290000,4.290000,4.160000,4.200000,4.200000,462100
2019-07-29,4.200000,4.409000,4.145000,4.310000,4.310000,522000
2019-07-30,4.380000,4.390000,4.210000,4.310000,4.310000,213600
2019-07-31,4.320000,4.330000,4.140000,4.200000,4.200000,451700
2019-08-01,4.310000,4.370000,4.100000,4.140000,4.140000,415700
2019-08-02,4.180000,4.180000,3.960000,4.000000,4.000000,992600
2019-08-05,3.920000,4.040000,3.710000,4.010000,4.010000,851200
2019-08-06,4.110000,4.170000,3.981000,4.070000,4.070000,334600
2019-08-07,4.070000,4.320000,4.000000,4.300000,4.300000,395600
2019-08-08,4.370000,4.478000,4.290000,4.350000,4.350000,413600
2019-08-09,4.350000,4.390000,4.210000,4.230000,4.230000,169700
2019-08-12,4.180000,4.210000,4.080000,4.160000,4.160000,155300
2019-08-13,4.110000,4.250000,4.110000,4.170000,4.170000,190000
2019-08-14,4.260000,4.260000,4.070000,4.070000,4.070000,255500
2019-08-15,4.090000,4.350000,4.070000,4.240000,4.240000,477500
2019-08-16,4.410000,4.500000,4.255000,4.450000,4.450000,474000
2019-08-19,4.610000,4.750000,4.510000,4.700000,4.700000,596000
2019-08-20,4.710000,4.990000,4.700000,4.860000,4.860000,685900
2019-08-21,4.910000,4.960000,4.700000,4.900000,4.900000,371200
2019-08-22,4.940000,5.000000,4.760000,5.000000,5.000000,704400
2019-08-23,5.100000,5.350000,5.010000,5.090000,5.090000,2482600
2019-08-26,5.090000,5.170000,4.400000,4.500000,4.500000,1067600
2019-08-27,4.510000,4.727000,4.480000,4.510000,4.510000,390500
2019-08-28,4.470000,4.510000,4.340000,4.365000,4.365000,298600
2019-08-29,4.400000,4.450000,4.310000,4.310000,4.310000,310900
2019-08-30,4.350000,4.450000,4.310000,4.340000,4.340000,160600
2019-09-03,4.350000,4.420000,4.310000,4.350000,4.350000,216200
2019-09-04,4.470000,4.660000,4.330000,4.600000,4.600000,384600
2019-09-05,4.720000,4.770000,4.540000,4.600000,4.600000,363200
2019-09-06,4.600000,4.690000,4.530000,4.610000,4.610000,211900
2019-09-09,4.610000,4.630000,4.400000,4.420000,4.420000,257000
2019-09-10,4.390000,4.580000,4.390000,4.510000,4.510000,115800
2019-09-11,4.600000,4.790000,4.540000,4.750000,4.750000,325800
2019-09-12,4.790000,4.790000,4.560000,4.560000,4.560000,239900
2019-09-13,4.560000,4.760000,4.550000,4.700000,4.700000,234200
2019-09-16,4.740000,4.980000,4.660000,4.980000,4.980000,496900
