Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,5.590000,5.670000,5.580000,5.640000,5.588394,1180600
2017-09-29,5.610000,5.700000,5.580000,5.680000,5.628027,1874500
2017-10-02,5.660000,5.680000,5.580000,5.660000,5.608210,2082100
2017-10-03,5.650000,5.650000,5.590000,5.620000,5.568576,994900
2017-10-04,5.640000,5.650000,5.530000,5.530000,5.479400,1817400
2017-10-05,5.560000,5.560000,5.470000,5.500000,5.449675,1340800
2017-10-06,5.530000,5.550000,5.470000,5.490000,5.439766,904700
2017-10-09,5.540000,5.570000,5.480000,5.500000,5.449675,982600
2017-10-10,5.500000,5.520000,5.480000,5.500000,5.449675,732300
2017-10-11,5.540000,5.570000,5.500000,5.500000,5.449675,1012700
2017-10-12,5.550000,5.560000,5.490000,5.520000,5.469491,1124200
2017-10-13,5.560000,5.630000,5.530000,5.550000,5.499218,916100
2017-10-16,5.530000,5.550000,5.420000,5.460000,5.410040,1366000
2017-10-17,5.500000,5.510000,5.280000,5.370000,5.320864,3162000
2017-10-18,5.490000,5.490000,5.340000,5.380000,5.330773,1817100
2017-10-19,5.360000,5.380000,5.300000,5.340000,5.291139,1788100
2017-10-20,5.350000,5.480000,5.330000,5.430000,5.380315,790900
2017-10-23,5.480000,5.480000,5.400000,5.430000,5.380315,736900
2017-10-24,5.440000,5.450000,5.290000,5.310000,5.261413,1864200
2017-10-25,5.330000,5.380000,5.250000,5.260000,5.211871,2286200
2017-10-26,5.300000,5.300000,5.170000,5.170000,5.122694,1984800
2017-10-27,5.190000,5.210000,5.060000,5.180000,5.132602,3629900
2017-10-30,5.180000,5.270000,5.160000,5.240000,5.192054,1688800
2017-10-31,5.240000,5.380000,5.240000,5.360000,5.310956,1092200
2017-11-01,5.360000,5.370000,5.200000,5.210000,5.162328,1450200
2017-11-02,5.250000,5.250000,5.130000,5.180000,5.132602,1219200
2017-11-03,5.190000,5.210000,5.120000,5.130000,5.083060,1732300
2017-11-06,5.190000,5.230000,5.110000,5.120000,5.073152,1386000
2017-11-07,5.200000,5.260000,5.050000,5.050000,5.003792,3092600
2017-11-08,5.100000,5.110000,5.070000,5.090000,5.043426,2041900
2017-11-09,5.130000,5.130000,5.070000,5.070000,5.023610,1481800
2017-11-10,5.070000,5.090000,5.010000,5.030000,4.983975,860500
2017-11-13,5.030000,5.100000,4.950000,5.090000,5.043426,2084300
2017-11-14,5.070000,5.180000,5.030000,5.170000,5.122694,1871800
2017-11-15,5.090000,5.140000,5.090000,5.120000,5.073152,1118100
2017-11-16,5.170000,5.300000,5.140000,5.270000,5.221779,2033900
2017-11-17,5.300000,5.300000,5.250000,5.280000,5.231688,1151900
2017-11-20,5.250000,5.350000,5.250000,5.330000,5.281230,1808900
2017-11-21,5.300000,5.340000,5.300000,5.340000,5.291139,1364400
2017-11-22,5.300000,5.300000,5.250000,5.280000,5.231688,870000
2017-11-24,5.290000,5.310000,5.250000,5.260000,5.211871,365800
2017-11-27,5.310000,5.320000,5.280000,5.300000,5.251504,1080100
2017-11-28,5.340000,5.350000,5.310000,5.310000,5.261413,1062700
2017-11-29,5.350000,5.470000,5.300000,5.320000,5.271322,1742000
2017-11-30,5.310000,5.400000,5.280000,5.390000,5.340681,3612600
2017-12-01,5.300000,5.340000,5.040000,5.150000,5.102877,2364000
2017-12-04,5.200000,5.200000,5.100000,5.120000,5.073152,1010900
2017-12-05,5.100000,5.200000,5.080000,5.180000,5.132602,1894100
2017-12-06,5.140000,5.170000,5.140000,5.160000,5.112785,706900
2017-12-07,5.170000,5.180000,5.120000,5.170000,5.122694,436400
2017-12-08,5.200000,5.240000,5.180000,5.240000,5.192054,610300
