Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,3.710000,3.760000,3.690000,3.730000,3.730000,8978300
2017-09-29,3.750000,3.790000,3.680000,3.780000,3.780000,9851600
2017-10-02,3.790000,3.880000,3.760000,3.840000,3.840000,10103300
2017-10-03,3.830000,3.850000,3.790000,3.840000,3.840000,4929000
2017-10-04,3.850000,3.860000,3.790000,3.820000,3.820000,5940900
2017-10-05,3.820000,3.840000,3.740000,3.820000,3.820000,7880900
2017-10-06,3.800000,3.820000,3.760000,3.790000,3.790000,8598900
2017-10-09,3.710000,3.760000,3.700000,3.720000,3.720000,4905700
2017-10-10,3.730000,3.740000,3.660000,3.710000,3.710000,4708400
2017-10-11,3.710000,3.730000,3.690000,3.700000,3.700000,3532900
2017-10-12,3.700000,3.760000,3.680000,3.740000,3.740000,4605500
2017-10-13,3.760000,3.870000,3.740000,3.830000,3.830000,11628900
2017-10-16,3.830000,3.860000,3.800000,3.840000,3.840000,4400000
2017-10-17,3.840000,3.850000,3.800000,3.840000,3.840000,2309000
2017-10-18,3.870000,3.950000,3.850000,3.880000,3.880000,15820300
2017-10-19,3.860000,3.990000,3.840000,3.920000,3.920000,17310100
2017-10-20,3.940000,3.970000,3.860000,3.940000,3.940000,12179000
2017-10-23,3.950000,3.950000,3.850000,3.870000,3.870000,4423500
2017-10-24,3.850000,3.880000,3.790000,3.790000,3.790000,5055000
2017-10-25,3.780000,3.790000,3.630000,3.760000,3.760000,14484100
2017-10-26,3.780000,3.780000,3.670000,3.730000,3.730000,7278500
2017-10-27,3.730000,3.780000,3.690000,3.770000,3.770000,5417100
2017-10-30,3.770000,3.850000,3.760000,3.820000,3.820000,6300100
2017-10-31,3.820000,3.900000,3.800000,3.900000,3.900000,9213000
2017-11-01,3.910000,3.910000,3.790000,3.840000,3.840000,8750000
2017-11-02,3.850000,3.890000,3.800000,3.880000,3.880000,6604500
2017-11-03,3.880000,3.970000,3.860000,3.920000,3.920000,12539400
2017-11-06,3.930000,3.940000,3.860000,3.860000,3.860000,8423800
2017-11-07,3.890000,3.890000,3.630000,3.670000,3.670000,28858800
2017-11-08,3.800000,4.090000,3.760000,3.830000,3.830000,37656400
2017-11-09,3.800000,3.930000,3.720000,3.900000,3.900000,13551600
